#{"t_start": 1519654445.0999992, "env_id": "Ant-v2", "gym_version": "0.9.7"}
r,l,t
-124.533155,50,0.803372
-116.596324,41,1.044536
-3410.61322,1000,7.476497
-100.37412,31,7.675503
-241.684757,89,8.204598
-210.126969,78,8.668722
-114.555251,53,8.980428
-109.809943,26,9.13024
-171.732132,47,9.406907
-3000.344662,1000,15.648297
-142.219536,52,15.952275
-103.709322,33,16.145344
-99.149068,47,16.419204
-53.374423,22,16.640419
-33.886462,16,16.735612
-243.320353,81,17.212819
-66.490765,29,17.376593
-259.367074,92,17.963753
-72.566713,26,18.113831
-168.649423,50,18.405318
-86.932275,25,18.565724
-179.284562,55,18.901346
-67.889065,44,19.147
-81.192783,22,19.277512
-100.397369,31,19.457468
-63.260435,32,19.664964
-98.021403,30,19.913684
-187.272351,62,20.284
-53.183532,18,20.390485
-231.108329,63,20.776069
-97.077551,31,20.962416
-24.026146,20,21.080592
-89.649761,37,21.297413
-51.015236,19,21.411555
-80.742923,32,21.621424
-137.852783,50,21.917777
-56.506404,18,22.021675
-52.007058,20,22.14067
-30.195089,12,22.210997
-164.528938,51,22.518712
-149.861309,72,23.045796
-130.769851,50,23.342849
-159.691407,62,23.736415
-54.699005,20,23.84926
-102.753357,48,24.126022
-88.661464,30,24.302505
-2581.873818,1000,30.4778
-139.388707,37,30.72836
-60.45272,27,30.891015
-127.331438,57,31.218186
-45.477769,18,31.325854
-133.894685,54,31.666512
-56.144516,27,31.830869
-394.163207,164,32.871385
-103.185475,40,33.102674
-47.592437,21,33.225718
-42.557922,16,33.319917
-37.864,23,33.457918
-89.821392,40,33.716197
-79.309784,42,33.960891
-134.821218,35,34.166117
-91.176403,60,34.53046
-180.065543,68,34.933052
-126.097062,44,35.191455
-50.981617,15,35.28014
-219.896959,109,36.021744
-229.404963,76,36.461168
-59.771949,24,36.61652
-190.00838,72,37.035491
-49.382864,18,37.139189
-55.560686,21,37.261845
-107.40158,35,37.462896
-131.862497,54,37.804284
-63.781289,33,38.001249
-28.236388,14,38.083279
-85.719303,29,38.250848
-135.102059,39,38.482754
-89.708192,32,38.755984
-339.202424,133,39.560562
-638.322145,301,41.334178
-217.427107,71,41.853503
-46.795707,16,41.948062
-285.202144,96,42.520763
-276.729953,92,43.074979
-40.002791,18,43.182354
-37.273027,16,43.274774
-39.317807,24,43.41688
-209.612159,58,43.774684
-68.365134,35,43.978568
-249.370871,75,44.422188
-133.972489,69,44.853406
-87.290579,41,45.170978
-100.48965,30,45.348823
-22.086433,26,45.507771
-35.890275,20,45.648553
-92.69571,35,45.860862
-294.012242,123,46.595073
-63.593162,22,46.726002
-124.095425,43,46.983682
-94.956783,40,47.215818
-119.912712,64,47.608204
-253.103929,87,48.190079
-80.836867,32,48.386905
-165.846996,99,48.992593
-30.219203,9,49.043867
-277.898293,149,49.98601
-112.493559,36,50.202802
-110.656676,39,50.437377
-110.593795,33,50.647808
-94.868767,37,50.863712
-111.283503,34,51.063625
-51.593058,45,51.407018
-111.630045,52,51.745565
-28.875575,10,51.804495
-47.390729,18,51.912321
-72.207626,25,52.058758
-2257.420263,1000,58.224915
-155.04265,63,58.606446
-40.9954,33,58.829029
-56.887499,41,59.072922
-202.756809,79,59.548558
-124.443434,44,59.804958
-114.007163,56,60.133752
-41.130011,28,60.296411
-116.565705,36,60.51346
-34.229982,13,60.603159
-7.66576,22,60.823945
-66.132347,67,61.219543
-152.050743,70,61.656032
-51.02201,21,61.773592
-116.037145,76,62.223645
-42.482368,19,62.334947
-10.511211,10,62.391054
-86.132978,49,62.716441
-237.740663,85,63.212477
-44.905204,13,63.289827
-60.927225,20,63.404264
-55.919126,17,63.517675
-151.854105,82,64.098397
-61.972602,23,64.230598
-368.389005,119,64.960307
-162.716915,80,65.428191
-31.891734,14,65.518178
-81.466092,36,65.742262
-2049.80252,1000,71.896784
-181.194359,62,72.270532
-12.866831,10,72.329457
-112.896696,54,72.665337
-62.269315,20,72.777569
-104.407411,39,73.009588
-62.69016,30,73.180661
-218.524407,108,73.931254
-63.671969,31,74.115132
