#{"t_start": 1519654444.976573, "env_id": "Ant-v2", "gym_version": "0.9.7"}
r,l,t
-128.981268,33,0.82623
-101.446615,35,1.033684
-313.867023,83,1.512894
-275.983137,89,2.054812
-114.129818,59,2.401089
-71.980003,22,2.530468
-232.409552,61,2.904778
-124.018678,25,3.048921
-64.402077,21,3.177891
-61.654929,15,3.2683
-41.93955,15,3.355048
-41.367028,12,3.427579
-101.936726,30,3.604288
-314.574569,105,4.605496
-248.982683,77,5.085769
-93.1054,24,5.226624
-69.163081,24,5.363784
-153.640906,55,5.700977
-231.792197,96,6.265978
-163.543568,42,6.507851
-87.105292,30,6.698145
-202.49677,80,7.25195
-69.793431,22,7.382556
-198.875374,88,7.92299
-241.226905,82,8.408038
-3093.059044,1000,14.618151
-574.256864,166,15.619441
-84.515444,27,15.789415
-92.995046,37,16.004022
-268.094556,92,16.545169
-177.508758,69,17.043863
-329.173452,125,17.809849
-332.6105,103,18.419141
-28.124934,19,18.527601
-113.216689,33,18.74906
-433.188735,136,19.535047
-168.753136,77,20.079734
-37.251631,20,20.201316
-198.023108,73,20.64011
-682.504278,216,21.950007
-116.182266,40,22.181565
-189.482582,68,22.583828
-139.094996,46,22.880828
-193.918015,113,23.635303
-146.298362,50,23.950556
-41.837076,13,24.027783
-330.771364,119,24.745884
-68.886774,26,24.900686
-134.532442,66,25.289341
-83.264544,40,25.523332
-56.595307,25,25.683005
-249.091594,90,26.297978
-69.817392,24,26.444504
-185.094341,82,26.956876
-274.051183,78,27.409057
-102.141617,37,27.63629
-175.330617,52,27.949413
-108.489535,52,28.252049
-2694.827498,1000,34.413903
-159.332591,66,34.816826
-67.03166,38,35.038012
-56.351665,20,35.155792
-25.486448,14,35.236183
-73.443525,26,35.390404
-45.459643,10,35.449935
-61.442571,23,35.668756
-186.313601,61,36.045718
-68.934919,29,36.214199
-84.223638,31,36.393355
-117.154197,39,36.626926
-105.760235,37,36.85126
-106.541729,38,37.073295
-63.809205,24,37.212612
-157.107017,41,37.450649
-103.304357,47,37.742501
-34.583342,16,37.841152
-123.621524,37,38.062758
-36.473115,28,38.222874
-50.364845,25,38.370522
-28.759613,13,38.444288
-89.062929,38,38.678214
-67.096917,22,38.886231
-18.980974,10,38.945636
-33.626194,33,39.144837
-57.922214,31,39.332282
-2434.431391,1000,45.473041
-182.797155,62,45.874358
-108.961208,39,46.100595
-219.482752,78,46.55653
-81.677361,22,46.700862
-126.709302,58,47.04519
-31.997512,15,47.13568
-70.40731,26,47.284999
-41.123256,16,47.379003
-121.12324,61,47.754783
-67.234653,32,47.938206
-16.092065,10,47.994937
-58.144108,33,48.264966
-63.917767,24,48.411835
-66.089524,71,48.858804
-154.357623,92,49.398399
-239.249976,97,50.035496
-178.800892,81,50.519053
-41.627326,27,50.689367
-39.734384,16,50.789882
-46.870214,15,50.877335
-39.789305,28,51.041439
-115.03394,80,51.591919
-2219.96896,1000,57.786072
-2205.176035,1000,63.916517
-83.512384,34,64.190162
-239.304296,128,64.96839
-245.290398,89,65.496199
-79.718839,39,65.738332
-79.672011,33,65.933517
-24.939771,28,66.102458
-74.300679,25,66.249808
-99.02786,57,66.586501
-46.574347,27,66.753594
-277.875079,106,67.452444
-27.474206,11,67.52064
-27.002349,13,67.607168
-94.70701,46,67.885809
-31.186777,15,67.973969
-9.159842,23,68.111156
-28.194566,21,68.234239
-91.147631,53,68.55196
-212.79786,68,68.960669
-39.818143,28,69.128338
-23.311768,13,69.207006
-66.124117,17,69.302493
-35.241724,14,69.38497
-76.230475,38,69.616886
-230.595835,116,70.316318
-35.694288,19,70.500362
-90.566566,35,70.729076
-58.809743,43,70.991826
-86.122893,53,71.304064
-49.528365,19,71.414373
-33.683568,18,71.52215
-242.915081,95,72.100193
-53.675492,25,72.248378
-12.595463,21,72.377061
-176.527801,52,72.702593
-100.964661,46,72.967389
-54.396896,30,73.143325
-128.88981,53,73.453413
-63.161108,29,73.714899
-17.861429,12,73.796053
-36.066519,11,73.867546
-37.07354,18,73.976843
-50.206626,42,74.22791
-37.325639,12,74.299015
-73.484369,38,74.521475
-101.419076,52,74.85896
-20.57606,13,74.932888
-83.100772,30,75.107884
-89.994466,30,75.286456
-53.536303,20,75.405453
-45.087639,40,75.644053
-41.674141,25,75.812176
-63.557239,32,76.000004
-1902.645769,1000,82.212932
-15.775659,35,82.421905
-76.458539,38,82.654034
-69.179366,36,82.878327
-40.773527,21,83.002338
-6.709673,10,83.132401
-36.422482,31,83.317135
-20.822951,42,83.571631
-27.851145,18,83.694026
-129.679781,68,84.12114
-17.469464,16,84.217126
-1946.837839,1000,90.406976
-124.423417,57,90.763807
-25.4289,12,90.842221
-17.619157,17,90.937795
-36.904728,33,91.129853
-75.912309,47,91.406536
-103.142595,54,91.735972
-94.618649,57,92.074143
-8.305019,13,92.166314
-25.263342,19,92.280025
-1780.031376,1000,98.421287
-85.670237,41,98.672798
-6.039699,12,98.754892
-42.246157,41,99.066243
-14.171583,19,99.179448
-297.165255,101,99.772435
-95.595864,60,100.123086
-14.328413,10,100.180734
-30.243954,21,100.305339
-56.366435,50,100.601132
-105.005478,85,101.110984
-37.544431,18,101.218757
-12.975067,13,101.296045
-51.531936,39,101.521006
-25.672265,26,101.684402
-27.466789,22,101.811706
-31.494002,17,101.909054
-17.940622,15,102.071831
-184.901494,108,102.722924
-71.421863,44,102.98278
-143.767655,82,103.463264
-89.755389,46,103.763318
-27.223127,32,103.963602
-75.851119,46,104.233388
-36.24174,27,104.390263
-36.340128,22,104.518421
-63.544331,40,104.774994
