#{"t_start": 1519654445.1093016, "env_id": "Ant-v2", "gym_version": "0.9.7"}
r,l,t
-160.52055,45,0.766392
-111.615757,28,0.931987
-68.50375,28,1.092386
-85.69272,22,1.217519
-241.843629,65,1.617802
-191.834968,61,1.97641
-48.944444,25,2.120314
-66.885473,33,2.314628
-130.769675,39,2.562868
-231.350891,79,3.024214
-202.206389,76,3.478383
-41.323464,12,3.918711
-145.147707,40,4.155265
-357.329017,110,4.837781
-278.265739,63,5.208598
-251.686964,85,5.725937
-192.827762,79,6.182216
-397.800508,119,6.899075
-88.403458,32,7.167258
-151.973531,53,7.486167
-77.344364,14,7.579354
-27.357007,10,7.639203
-79.235191,32,7.832032
-49.455363,17,7.936033
-76.016088,17,8.035913
-3028.217827,1000,14.236691
-55.265948,16,14.331041
-219.139455,73,14.78967
-158.922234,55,15.113279
-223.793343,69,15.526771
-112.109604,32,15.71957
-105.401337,43,15.971276
-154.642598,41,16.213743
-301.194993,110,16.948953
-359.088957,127,17.738434
-311.977541,98,18.309233
-62.610928,18,18.413828
-34.239617,12,18.485507
-30.579905,13,18.5791
-218.429466,72,19.005729
-2677.387808,1000,25.178487
-259.110104,104,25.808641
-46.800821,19,25.922642
-1020.758887,394,28.358742
-106.59381,32,28.561161
-146.426336,67,28.95784
-82.193513,31,29.21733
-69.578196,31,29.404113
-140.303634,58,29.776229
-188.703983,72,30.195131
-122.58376,35,30.39826
-54.464642,27,30.571865
-111.355731,48,30.882013
-169.817272,68,31.272548
-119.992271,44,31.541754
-100.957316,32,31.75365
-131.429311,42,31.991209
-86.684362,31,32.171567
-109.849961,37,32.463021
-100.660853,41,32.712602
-328.081783,113,33.376135
-53.372065,25,33.532238
-114.907058,56,33.876419
-52.369038,18,33.981088
-55.194958,22,34.110669
-40.174536,13,34.185907
-126.950574,55,34.520499
-134.224861,57,34.859265
-142.283201,57,35.193721
-38.576583,12,35.26629
-30.365781,13,35.341429
-175.754863,74,35.875325
-15.07764,15,35.965388
-258.222991,77,36.41075
-156.402225,54,36.741882
-14.57426,8,36.789095
-89.893163,37,37.000785
-33.451069,21,37.126324
-57.356946,29,37.295862
-43.40905,18,37.395602
-38.197396,13,37.471332
-39.012287,21,37.613863
-163.07968,62,37.988697
-156.621365,64,38.35676
-198.497374,75,38.89189
-153.06933,62,39.266661
-2437.34713,1000,45.40623
-125.866568,55,45.763555
-61.90588,22,45.893664
-31.168148,17,45.992482
-104.36698,41,46.232072
-102.289339,42,46.479199
-234.81513,78,46.954689
-24.137149,14,47.036002
-154.031567,68,47.432647
-38.083026,19,47.557377
-20.361576,8,47.610134
-43.555877,20,47.72437
-2307.479769,1000,53.952466
-148.167907,78,54.493918
-240.67655,86,55.042265
-44.387546,26,55.193477
-14.589684,10,55.250229
-28.121434,22,55.378273
-16.096306,14,55.460166
-133.51045,71,55.89843
-38.156651,14,55.981055
-27.007448,10,56.038712
-25.921433,20,56.154243
-35.871655,20,56.268917
-258.387021,101,56.890474
-64.670922,37,57.111617
-50.238114,17,57.208781
-46.620198,18,57.31398
-44.017173,17,57.412348
-76.903857,43,57.746617
-265.929176,124,58.476089
-205.102499,116,59.202701
-170.420487,82,59.695589
-21.930191,12,59.763625
-63.269384,38,59.989993
-239.701121,127,60.844461
-60.095082,17,60.943848
-20.002753,21,61.068943
-31.142379,30,61.248236
-41.57038,29,61.420873
-84.181975,41,61.680248
-34.755177,19,61.787149
-69.100788,45,62.057455
-69.684142,38,62.279665
-34.758049,20,62.393072
-25.314206,12,62.465901
-26.620512,13,62.559624
-36.03225,13,62.650405
-117.06848,52,62.954531
-107.890677,37,63.173311
-35.967001,22,63.304832
-2146.025691,1000,69.468451
-100.927336,62,69.856791
-62.000861,33,70.049127
-16.248267,11,70.114212
-63.133112,24,70.328312
-122.922714,51,70.6538
-66.464269,40,70.89582
-122.458897,73,71.32628
-34.293135,15,71.412631
-28.587334,14,71.503557
-25.42721,20,71.628002
-68.031022,24,71.765644
-99.626298,46,72.042883
-50.506704,32,72.238661
-41.580407,35,72.446674
-24.743685,13,72.536657
-22.210035,11,72.606791
-130.344278,42,72.846951
-66.449061,21,72.970443
-95.552839,38,73.189344
-48.107778,21,73.313873
-59.710205,31,73.588168
-110.761367,47,73.886561
-62.542866,27,74.046238
-101.685224,52,74.352884
-80.691747,61,74.743813
-66.189868,34,74.940176
-66.55011,27,75.101157
-5.751509,16,75.194524
-81.741438,49,75.485549
-92.242988,53,75.818178
-208.009788,100,76.410895
-65.056801,37,76.717172
-44.800882,12,76.791806
-196.349587,99,77.384685
-155.053206,74,77.846736
-209.967438,86,78.354136
-196.342574,96,78.953979
-21.97313,11,79.019191
-27.527193,12,79.085984
-102.855989,58,79.428773
-97.208987,44,79.709008
-2.115892,15,79.878715
-266.434767,174,80.931426
-63.74324,35,81.137207
-39.468419,23,81.273075
-96.799563,79,81.761325
-29.417559,13,81.831441
-22.080332,17,81.93957
-44.094927,33,82.140524
-39.863458,35,82.347341
-39.746151,24,82.492567
-17.354537,21,82.635199
-46.89728,20,82.752751
-223.695945,91,83.364164
-20.655475,12,83.437717
-159.321908,58,83.822313
-31.887369,13,83.894793
-57.431627,30,84.076828
-134.021353,95,84.659557
-290.099212,130,85.428175
-42.950853,36,85.656986
-131.85021,65,86.043749
-70.918383,61,86.49229
-12.709095,6,86.532909
-37.64903,23,86.671072
-61.072172,58,87.012184
-214.363419,104,87.650364
-40.95496,24,87.812615
-65.972481,31,87.996415
-19.069508,12,88.068811
-76.826552,45,88.336866
-32.160444,27,88.501516
-64.50005,55,88.849992
-35.019489,16,88.943218
-39.81326,20,89.063151
-103.869713,59,89.474697
-28.638579,17,89.590105
-47.377665,21,89.715794
-49.255813,33,89.909196
-51.581619,23,90.042625
-209.871445,82,90.5253
