#{"t_start": 1519654445.1339574, "env_id": "Ant-v2", "gym_version": "0.9.7"}
r,l,t
-52.705275,18,0.579526
-97.508097,37,0.799697
-105.718774,38,1.020882
-202.285343,63,1.384355
-92.604423,23,1.532588
-233.866113,82,2.018893
-104.043064,35,2.224319
-321.387983,97,2.808681
-167.246332,46,3.087173
-62.100174,22,3.215982
-136.811479,39,3.448041
-209.084816,62,4.182513
-99.863477,35,4.395892
-84.522189,34,4.626496
-3203.70515,1000,10.795371
-304.870787,111,11.448068
-42.79524,12,11.533256
-96.799131,33,11.730464
-98.93298,39,11.959499
-91.189868,22,12.091681
-192.80004,58,12.427807
-50.026328,21,12.575647
-66.606832,18,12.692196
-2772.052456,1000,18.877961
-108.223579,43,19.118552
-393.089125,157,20.138301
-35.66798,13,20.215662
-42.11475,15,20.301587
-119.290587,65,20.702798
-466.463047,148,21.601156
-83.999465,24,21.743895
-188.990814,79,22.209285
-147.591272,51,22.521252
-354.622614,118,23.316198
-69.429417,21,23.438685
-151.849344,52,23.768775
-67.21693,23,23.90416
-80.043338,34,24.099454
-34.030549,12,24.172217
-83.095089,24,24.311376
-123.323527,79,24.800476
-2677.887009,1000,30.985797
-81.644072,34,31.178943
-263.630661,96,31.772832
-209.289034,69,32.170676
-188.118266,82,32.734954
-68.377992,28,32.901283
-102.248548,37,33.114883
-87.942514,32,33.304205
-39.536798,16,33.400562
-23.698739,11,33.468424
-408.366781,153,34.387748
-225.146017,74,34.833937
-106.959163,44,35.090495
-193.897002,72,35.613304
-187.560316,77,36.071562
-42.278579,16,36.162813
-99.001056,62,36.536706
-645.639434,204,37.749308
-109.13078,48,38.03327
-174.380339,82,38.521902
-97.664,31,38.780905
-63.229407,32,38.974365
-2436.166836,1000,45.119095
-63.567002,26,45.27549
-93.497203,50,45.593281
-296.137736,108,46.237054
-39.054488,20,46.352325
-34.391267,20,46.476754
-25.93647,9,46.537406
-63.341814,19,46.647521
-84.270683,22,46.782145
-92.992098,51,47.079471
-114.382719,73,47.519558
-143.133845,49,47.807548
-29.814711,11,47.871998
-95.666493,38,48.178078
-36.957654,19,48.291147
-31.529501,14,48.375222
-116.526789,46,48.671325
-102.205794,40,48.910675
-125.989646,50,49.19588
-126.510786,62,49.587453
-978.954346,405,52.145321
-36.811748,33,52.340738
-202.833474,66,52.752267
-36.149726,14,52.838483
-115.262463,50,53.132377
-43.461678,17,53.231507
-120.605865,57,53.578322
-40.35738,16,53.671633
-57.923561,25,53.821998
-56.856121,27,53.980103
-51.468528,19,54.091651
-56.282955,48,54.452331
-105.681808,45,54.757099
-81.27104,33,54.959497
-25.702298,43,55.211493
-56.977855,33,55.399252
-152.538763,65,55.799747
-78.311223,24,55.944805
-127.605548,61,56.297057
-99.092988,46,56.590319
-198.75343,77,57.04833
-117.963296,61,57.404458
-150.832445,72,57.915451
-29.476756,18,58.018624
-39.121057,22,58.149364
-75.544333,40,58.377717
-113.122232,50,58.715773
-60.026346,17,58.820583
-23.040504,7,58.859182
-188.505533,100,59.453032
-61.546059,32,59.646675
-26.966563,11,59.708165
-77.014516,36,59.922882
-58.236191,17,60.021105
-64.431994,33,60.217188
-58.523078,24,60.357617
-188.950061,106,61.09117
-133.406312,81,61.591647
-49.83878,23,61.723776
-106.669355,55,62.051668
-110.081955,90,62.606613
-103.03263,60,62.959137
-90.957758,42,63.20956
-25.806865,17,63.308763
-81.245585,34,63.522574
-15.575641,28,63.70721
-56.858233,36,63.992157
-114.449483,43,64.242766
-33.303418,23,64.387867
-304.483596,125,65.149226
-33.568479,11,65.210622
-277.875147,91,65.757973
-78.133694,42,66.01067
-33.212508,14,66.091474
-198.391757,69,66.506749
-18.611605,16,66.60486
-86.4455,39,66.8319
-110.856798,40,67.147065
-2023.512654,1000,73.229673
-40.442291,33,73.510422
-77.665364,32,73.72247
-177.653918,99,74.309615
-165.112082,79,74.804691
