#{"env_id": "Humanoid-v2", "t_start": 1519555777.31621, "gym_version": "0.9.7"}
r,l,t
253.079794,52,4.955138
123.624852,27,5.545297
81.255323,17,5.91667
75.157065,16,6.272597
81.309612,17,6.653655
121.16548,26,7.237797
93.123607,20,7.700784
98.364374,23,8.219695
87.084027,18,8.638603
95.221167,20,9.085309
103.750478,23,9.620183
140.702219,29,10.281909
85.07094,18,10.707238
100.796502,21,11.185204
75.129669,16,11.579868
75.982049,16,11.944541
76.152755,16,12.324352
76.613305,16,12.694933
76.385455,16,13.050898
84.962535,18,13.498648
84.921293,18,13.907711
80.605697,17,14.288945
109.369492,23,14.803846
84.048549,18,15.220847
84.234316,18,16.490568
81.407031,17,16.879765
76.461256,16,17.259543
76.377477,16,17.629211
102.615111,24,18.177716
80.81464,17,18.561654
81.336166,17,18.948874
80.887189,17,19.344299
81.341989,17,19.746682
158.642192,34,20.523452
79.003,18,20.926671
81.302337,17,21.313151
143.568581,30,21.991955
140.734394,29,22.66403
113.262881,24,23.2113
79.04691,17,23.615295
81.01783,17,24.001148
120.013962,28,24.687814
191.707944,42,25.670649
86.499588,18,26.083433
80.197408,17,26.497489
158.40871,33,27.246446
94.528674,20,27.713703
72.117871,16,28.073496
74.382596,16,29.056727
139.062162,30,29.758699
103.605484,25,30.351527
81.387343,17,30.747464
151.403792,34,31.536143
79.882247,17,31.920339
147.807164,31,32.671112
76.192214,16,33.037924
76.131677,16,33.423789
101.917292,21,33.901021
91.337744,19,34.349212
86.483365,18,34.77075
78.770079,17,35.159162
99.631585,22,35.692731
137.300518,28,36.347714
181.601326,38,37.233345
76.150833,16,37.625751
106.578938,26,38.228376
92.276147,20,38.696752
76.48086,16,39.066381
132.092009,30,39.769195
74.358097,16,40.132441
114.155962,26,40.744359
207.083054,41,42.328616
87.243042,19,42.787739
85.385171,18,43.204726
163.842333,36,44.06822
81.129111,17,44.495354
75.82236,16,44.869916
80.972163,17,45.277892
80.206112,17,45.682369
102.632494,21,46.168274
167.863296,37,47.054753
87.653552,19,47.51632
138.168762,29,48.185692
119.529664,25,48.781782
151.42158,34,49.599633
134.423726,29,50.29551
81.402772,17,50.696755
100.80618,22,51.20342
77.505976,17,51.629744
