#{"env_id": "Humanoid-v2", "t_start": 1519555778.3349736, "gym_version": "0.9.7"}
r,l,t
114.531624,25,3.362303
75.084379,16,3.705122
81.40945,17,4.066346
90.572818,19,4.486505
90.477208,19,4.900052
113.825508,25,5.459836
105.446489,23,5.974071
218.266062,45,6.998608
77.521509,17,7.400775
75.973759,16,7.756333
80.919823,17,8.137587
87.982743,19,8.580155
86.34424,18,8.986647
106.390275,23,9.534587
102.64479,22,10.029931
84.480384,18,10.469131
86.110425,18,10.879691
204.695146,44,11.897542
90.814168,19,12.352362
135.043063,30,13.045713
75.106032,16,13.412942
85.948533,18,13.809441
69.508967,15,14.158629
75.844006,16,15.38211
126.368893,27,16.004773
164.440511,33,16.768605
169.334996,36,17.590347
107.012032,22,18.086917
71.130812,15,18.456139
282.123085,56,19.733799
73.051752,16,20.08929
79.603477,17,20.479007
74.273543,16,20.837067
75.631196,16,21.207111
80.417598,17,21.601825
79.287575,17,21.99091
136.956278,30,22.690544
85.994185,18,23.101269
81.590045,17,23.526851
107.698326,25,24.104258
75.753638,16,24.494884
127.975956,27,25.112118
79.40156,17,25.522745
149.057131,32,26.254679
117.286778,25,26.83223
85.386099,18,27.857207
123.610952,26,28.466232
116.765583,26,29.065931
162.138593,36,29.912105
75.147265,16,30.281496
125.770915,29,30.94795
81.125319,17,31.35447
200.087547,40,32.308604
82.378197,18,32.72293
141.399667,29,33.409396
89.252644,19,33.843714
121.44335,26,34.46442
91.544334,19,34.903386
107.085769,23,35.4582
78.651314,17,35.849007
85.727365,18,36.269548
118.30457,25,36.859392
122.290339,26,37.47443
80.866262,17,37.865124
80.601752,17,38.267154
123.601075,26,38.86582
125.917909,28,39.516727
100.343663,21,40.60693
101.018057,21,41.111775
76.070387,16,41.508291
79.773499,17,41.910485
81.196984,17,42.321908
86.508544,18,42.754961
163.551072,38,43.664394
95.71274,20,44.134193
79.513599,17,44.547935
75.077537,16,44.918829
159.310074,33,45.709494
76.268601,16,46.083229
124.501003,26,46.704996
117.173238,24,47.26681
132.503375,28,47.928046
96.894436,20,48.415467
243.40139,49,49.588549
97.697241,20,50.04769
74.297636,16,50.44381
120.389306,28,51.087998
84.540415,18,51.510962
161.625921,38,52.407164
124.032155,26,53.642938
90.985842,21,54.133416
114.872126,25,54.754703
170.104222,37,55.630608
125.976699,29,56.334001
191.128608,42,57.328427
191.163362,40,58.308536
126.409842,27,58.961065
161.08201,38,59.904142
132.60793,29,60.613595
101.42813,22,61.142756
80.813811,17,61.568892
76.479025,16,61.94791
75.698165,16,62.342352
96.121106,21,62.846092
110.984074,23,63.397425
91.360609,19,63.837121
162.916621,32,64.620516
158.467763,34,65.459016
90.037609,20,66.558359
175.703392,37,67.47139
106.455094,22,68.003767
297.765884,62,69.530301
171.439328,36,70.393143
116.181671,25,70.980541
166.630532,33,71.796247
191.927354,39,72.750082
219.566164,45,73.854009
112.40138,23,74.431179
303.015676,63,75.954515
289.725914,60,77.400664
151.709179,35,78.241493
94.896646,21,79.372986
145.697256,30,80.098009
86.4576,18,80.537744
133.719479,28,81.214588
130.817757,31,82.008793
114.322784,25,82.635899
180.027453,37,83.567252
117.794403,25,84.188158
170.785149,36,85.08295
85.322457,18,85.546249
75.590904,16,85.925638
280.136892,58,87.320266
129.551187,26,87.946899
84.982465,19,88.423541
220.41589,48,89.621793
265.245154,50,90.87572
170.400188,36,91.768818
334.894077,83,94.445086
281.60305,56,95.833891
89.267026,21,96.371386
108.650482,24,96.95748
393.36883,75,98.828187
123.111047,26,99.486291
299.490555,69,101.190444
205.859393,42,102.240826
229.603653,46,103.386271
159.504436,34,104.197306
173.851833,40,105.172649
271.394028,60,107.297907
102.699023,21,107.830953
203.439235,45,108.963802
331.353189,73,110.803833
196.80641,41,111.841022
206.37225,44,112.919641
153.725941,36,113.790496
199.490941,46,114.958961
87.013775,18,115.41879
268.490161,59,116.934967
241.444665,48,118.122134
279.202191,59,120.212733
86.079244,18,120.68621
138.347883,33,121.513961
259.194184,52,122.803831
208.670954,43,123.895168
468.732124,100,126.418631
211.349751,46,127.575987
281.996688,57,129.019017
221.070585,47,130.208852
200.450981,39,131.192501
357.627654,75,133.709255
207.329926,45,134.856121
281.588304,55,136.232727
250.987531,48,137.464169
269.889666,53,138.78917
323.297593,66,140.474468
173.453212,40,141.482746
275.490592,56,142.880152
224.208234,48,144.082807
207.425939,41,145.104921
234.99482,49,146.900212
215.403302,45,148.018555
296.754162,72,149.851113
297.771889,59,151.340615
374.557267,73,153.200061
228.004209,48,154.438978
404.595928,92,156.778708
368.64699,81,158.823376
321.407568,63,161.06582
283.987211,58,162.591176
228.723276,52,163.913847
317.966357,68,165.671874
202.697366,44,166.790812
228.846383,50,168.049041
350.851206,68,169.784152
380.176861,86,171.994971
312.835612,65,174.24783
232.083343,49,175.547879
288.001038,65,177.246897
