#{"env_id": "Humanoid-v2", "t_start": 1519555778.5307417, "gym_version": "0.9.7"}
r,l,t
144.556491,31,3.292165
76.320177,16,3.633292
78.171996,17,4.001495
81.429419,17,4.373575
79.885581,17,4.747761
71.223225,15,5.084486
74.508633,16,5.441468
85.272545,18,5.845812
86.903878,18,6.263088
110.360641,24,6.80406
81.166535,17,7.206144
76.471151,16,7.561694
74.499922,16,7.919175
151.467993,34,8.696972
81.268678,17,9.095128
74.26994,16,9.473366
99.566742,21,9.950051
80.966898,17,10.36817
81.49645,17,10.756762
79.800407,17,11.16552
80.08156,17,11.547271
80.420532,17,11.931357
81.485126,17,12.359442
81.292642,17,12.740815
76.227649,16,13.102532
76.646328,16,13.464749
74.085545,16,13.815807
122.454937,26,15.278006
76.54613,16,15.644514
76.45213,16,16.022678
85.807365,18,16.438768
104.205018,22,16.943131
143.987101,31,17.647268
94.040189,20,18.107382
75.800327,16,18.488568
86.192179,18,18.89884
86.45109,18,19.310844
140.60216,31,20.001853
92.756571,20,20.462125
95.870607,20,20.921894
81.205955,17,21.319082
86.425872,19,21.746708
278.852232,63,23.227469
87.193258,18,23.656262
85.257882,18,24.072604
81.222834,17,24.482088
109.446703,23,25.008961
103.124552,22,25.530776
112.941479,24,26.085117
80.748737,17,26.477424
81.220087,17,26.861675
81.222195,17,27.867
80.347895,17,28.271409
84.918131,18,28.687062
76.436222,16,29.062312
192.184322,40,29.99154
83.501145,18,30.416864
81.029977,17,30.797947
149.91493,34,31.621048
103.169647,22,32.14178
84.897584,18,32.552074
81.06212,17,32.942336
86.271812,18,33.374242
75.437861,16,33.73733
81.535773,17,34.148649
75.654634,16,34.52651
110.99689,25,35.109123
84.171083,18,35.538786
75.367913,16,35.904734
81.643293,17,36.317626
89.186162,19,36.759616
122.963882,25,37.344806
81.021736,17,37.73996
81.526039,17,38.142474
113.410202,25,38.713873
76.474734,16,39.087239
77.031132,17,39.48539
303.845707,61,41.55214
100.02227,21,42.044251
81.248675,17,42.466495
268.002096,53,43.728354
78.929591,17,44.139212
203.713234,47,45.261009
98.696808,21,45.748612
92.153964,19,46.208882
95.522389,20,46.671522
108.415716,22,47.198162
76.791462,16,47.569251
96.550612,21,48.072325
129.605651,28,48.743273
208.06027,42,49.734668
79.475443,17,50.143829
75.43979,16,50.534359
100.358677,21,51.005817
80.026064,17,51.407228
147.594975,31,52.132604
81.046318,17,53.164778
180.990669,39,54.084117
162.327324,37,54.979199
93.541355,20,55.458681
187.496479,43,56.489086
81.15428,17,56.883762
142.358675,34,57.71839
172.942426,39,58.670022
234.009727,47,59.827363
127.564144,29,60.535099
111.576531,26,61.176389
81.277509,17,61.586881
113.566051,24,62.173908
101.063175,21,62.673895
197.047878,43,63.690581
100.567192,21,64.199355
158.339437,35,65.043635
165.834748,34,66.507255
102.384228,21,67.008712
219.576948,46,68.158811
162.367827,41,69.169354
85.790384,18,69.593284
92.028888,19,70.044031
173.122561,36,70.902526
132.103923,30,71.649713
212.193036,43,72.695446
229.210466,45,73.802732
230.710643,47,74.958024
157.20116,34,75.784804
124.812609,29,76.489812
132.147138,27,77.134121
96.311066,23,77.684983
92.343657,20,78.174822
104.855302,22,79.316848
175.550026,36,80.198829
150.578624,32,80.971299
209.543829,46,82.145705
93.728317,20,82.632031
216.715212,42,83.695153
157.920183,37,84.617122
81.21924,17,85.034299
193.951104,43,86.096126
163.042801,36,86.952783
405.870304,87,89.084625
293.055462,58,90.559007
132.686231,28,91.255662
140.575077,29,92.572
186.823459,40,93.56704
261.442294,52,94.854528
348.050024,67,96.539252
190.186916,40,97.530361
91.012815,21,98.047225
