#{"t_start": 1519654445.0686011, "env_id": "Ant-v2", "gym_version": "0.9.7"}
r,l,t
-117.760365,27,0.698365
-264.535586,80,1.16532
-87.400758,26,1.315225
-390.007132,103,1.938687
-180.939726,59,2.284287
-221.817456,71,2.721947
-70.955928,27,2.875638
-52.892897,14,2.956193
-66.995097,21,3.084643
-145.686661,59,3.432965
-104.422102,47,4.083699
-93.413091,28,4.247902
-263.077494,89,4.80737
-90.834898,30,4.986241
-70.214771,23,5.123492
-188.984491,48,5.398335
-218.935603,58,5.760785
-3142.643768,1000,11.928953
-58.803434,19,12.039895
-272.867319,73,12.467387
-2401.831712,839,17.715994
-28.97913,12,17.800143
-61.26272,17,17.897571
-283.687847,108,18.526125
-72.327531,25,18.698702
-31.63143,11,18.763133
-102.008784,35,18.966982
-31.463874,9,19.019701
-2744.714136,1000,25.190336
-67.945671,37,25.407643
-90.615273,36,25.640765
-2605.966261,1000,31.82725
-60.484478,21,31.945574
-255.023355,77,32.467879
-43.565508,20,32.594974
-228.603771,98,33.168381
-51.427293,25,33.315068
-675.79106,238,34.754111
-40.036538,24,34.893418
-312.443353,121,35.703214
-16.700386,14,35.787264
-57.4664,23,35.922047
-42.653217,21,36.046827
-48.975356,18,36.151259
-43.75234,17,36.252169
-50.803365,16,36.343982
-298.47067,128,37.102308
-27.738045,14,37.183795
-27.588476,8,37.230095
-55.603261,28,37.394118
-87.295795,38,37.629777
-69.49801,26,37.788997
-67.22886,27,37.951284
-294.396123,148,38.908609
-121.864324,39,39.142828
-139.846453,58,39.48603
-44.07075,13,39.574681
-118.220942,60,39.929513
-34.463352,22,40.056482
-123.154436,36,40.265472
-283.874985,137,41.079623
-58.232688,19,41.190639
-119.943706,49,41.478823
-72.53183,37,41.718779
-92.621653,38,42.019447
-114.145401,38,42.244126
-243.77574,100,42.857972
-132.307939,50,43.150626
-124.403419,59,43.49215
-77.523528,31,43.690774
-44.107882,20,43.812205
-196.27126,87,44.322465
-2343.336397,1000,50.55764
-2209.009658,1000,56.756774
-16.554718,10,56.815598
-128.277045,78,57.278141
-137.225708,79,57.822219
-40.662121,26,57.981425
-62.352788,16,58.072991
-98.498166,79,58.539098
-61.256993,22,58.690227
-159.719896,69,59.115147
-98.464798,45,59.37862
-28.675279,11,59.442766
-90.703221,46,59.724161
-77.461224,34,59.924064
-104.49889,78,60.376521
-46.013721,26,60.538651
-213.186883,75,61.086184
-38.116022,40,61.32254
-112.640647,40,61.572831
-160.734381,93,62.126494
-18.88497,13,62.202647
-129.435107,45,62.461797
-78.353347,23,62.62288
-100.08698,44,62.89586
-75.424511,34,63.089768
-94.247664,38,63.315048
-75.812375,31,63.494169
-56.216826,26,63.676244
-89.01149,28,63.848524
-24.658436,14,63.932185
-26.291681,16,64.097348
-180.339718,106,64.746285
-38.494597,27,64.908186
-2123.51233,1000,71.066234
-49.144642,26,71.219454
-75.277578,33,71.41184
-203.101826,82,71.909115
-120.115494,50,72.211333
-47.566286,19,72.324343
-123.600565,81,72.816094
-64.200539,20,72.934643
-86.045879,40,73.16623
-56.180597,15,73.253786
-33.51501,26,73.482326
-37.415752,17,73.594464
-60.705015,29,73.791216
-68.455585,48,74.074958
-48.766777,24,74.219693
-72.064077,21,74.341283
-52.556916,30,74.524267
-81.997639,47,74.822415
-129.935768,75,75.263381
-58.487996,23,75.401179
-29.884329,12,75.471002
-110.013868,46,75.76527
-52.551849,49,76.056944
-26.072811,19,76.170701
-23.325309,11,76.237084
-172.527426,61,76.681849
-207.246161,95,77.256457
-29.114988,25,77.403075
-22.367761,39,77.652923
-67.782078,24,77.798111
-9.981842,17,77.900611
-109.178022,62,78.266119
-138.576279,67,78.685093
-46.936996,24,78.828041
-165.301742,72,79.259986
-18.787578,11,79.323434
-34.892943,14,79.406051
-35.350869,14,79.490107
-52.53102,35,79.713603
-48.698368,18,79.901106
-1848.548072,1000,86.043369
-139.757901,68,86.53212
-21.003324,13,86.618523
-53.772874,48,86.899077
-55.803381,35,87.10578
-17.568783,11,87.166691
-71.502945,61,87.538917
-38.009816,18,87.659779
-1754.862213,1000,93.857889
-45.275094,35,94.058285
-1591.221204,1000,100.172857
-24.92841,11,100.238316
-150.64047,78,100.704147
-12.805343,16,100.799886
-76.247656,44,101.061116
-179.919611,103,101.674562
-165.343727,96,102.30717
-30.282249,14,102.387676
-59.971427,66,102.8013
-18.935944,20,102.915414
-136.38258,65,103.298103
-49.712487,24,103.436434
-19.482186,16,103.541718
-49.098842,34,103.771899
-23.772995,14,103.849887
-68.587265,50,104.145808
-47.701723,57,104.477066
-147.607886,75,104.944064
-34.697004,26,105.171954
-48.815404,16,105.266771
-95.217002,47,105.553824
-39.889287,31,105.747981
-18.7953,10,105.807364
-31.381604,18,105.91043
-44.267059,40,106.149102
-48.794867,25,106.291069
-40.545017,18,106.396384
-94.478623,38,106.645764
-149.986408,82,107.125355
-106.589155,69,107.527076
-32.432797,19,107.653651
-177.114163,124,108.455318
-44.08018,20,108.586359
-72.943668,42,108.835504
-19.057408,21,108.955676
-15.920939,13,109.030753
-63.141952,38,109.251226
-104.028505,76,109.731559
-114.506456,81,110.205684
-20.426446,10,110.259691
-110.065695,61,110.626638
-164.861792,86,111.149773
-84.114383,75,111.681834
-19.526805,9,111.735534
-103.226119,88,112.252972
-30.040257,28,112.417152
-40.011016,18,112.522833
-12.565202,14,112.618816
-16.674235,17,112.724156
-33.334392,14,112.804862
1.285483,28,112.97189
-61.747049,34,113.178793
-69.254888,44,113.439941
-23.793116,23,113.580806
-73.038495,45,113.84797
-31.842858,59,114.19631
-33.752999,27,114.357873
-11.710937,16,114.448331
-50.801419,54,114.853137
-16.445372,13,114.932688
