#{"env_id": "Humanoid-v2", "t_start": 1519555778.9538054, "gym_version": "0.9.7"}
r,l,t
85.447031,18,2.584067
106.342359,22,3.066123
76.416574,16,3.405482
87.336862,20,3.848858
81.203093,17,4.214645
80.745122,17,4.591738
74.109336,16,4.952146
87.168396,19,5.379594
100.752737,21,5.864546
76.529927,16,6.223236
83.731564,18,6.635234
76.496053,16,7.004128
120.727187,26,7.588674
206.776677,44,8.597698
76.33635,16,8.984624
71.806893,15,9.323038
120.959373,24,9.898064
85.627971,18,10.311723
124.362744,26,10.924808
86.336131,19,11.348986
76.030377,16,11.735525
96.518295,20,12.206552
81.282652,17,12.582062
81.616695,17,12.977119
86.046505,18,13.370682
150.215354,33,14.989028
119.004495,27,15.626022
99.871864,21,16.10705
84.063243,19,16.544321
138.786846,31,17.249252
135.958475,29,17.929031
180.914804,36,18.754143
78.588072,17,19.137112
162.190232,34,19.906252
76.287715,16,20.264116
85.493192,18,20.695378
89.601569,19,21.118431
88.053871,18,21.531491
91.011539,19,21.980577
92.637561,19,22.414057
91.119895,19,22.883997
80.600545,17,23.279923
113.118431,24,23.856192
90.86839,19,24.289607
81.330905,17,24.689833
117.7932,25,25.26825
74.916305,16,25.637957
73.647376,16,26.011543
169.67387,37,27.46811
96.392621,21,27.962162
75.855781,16,28.332054
109.472027,23,28.879963
76.016507,16,29.248857
75.68282,16,29.615064
99.163276,22,30.132666
81.709695,17,30.511302
90.486729,21,31.037384
79.292282,19,31.476178
118.039433,24,32.038458
80.909556,17,32.426044
80.931651,17,32.838755
111.046234,24,33.384955
81.260076,17,33.801734
113.241144,24,34.354532
76.526588,16,34.74048
85.142325,18,35.164227
81.136586,17,35.553191
99.159873,21,36.06409
118.821917,26,36.667984
120.602243,26,37.272436
85.794594,18,37.697442
67.427709,15,38.046041
80.505891,17,38.4283
80.623812,17,38.827493
217.960199,51,40.642195
85.21353,19,41.1076
117.672818,25,41.704975
87.567348,18,42.138309
135.495324,29,42.836179
80.10724,17,43.236061
144.879287,30,43.954553
209.026415,41,44.933863
89.113165,19,45.374467
81.454649,17,45.786895
202.991986,45,46.846475
84.193407,18,47.26558
85.67379,19,47.72829
107.844759,22,48.249993
139.890103,29,48.947593
92.004657,19,49.383414
179.910122,37,50.269539
170.499433,36,51.099377
98.819254,23,51.629214
73.532767,16,52.643292
81.550366,17,53.048961
75.469819,16,53.421959
178.101137,39,54.370554
162.584921,35,55.202705
164.06265,36,56.067755
77.140111,17,56.462449
106.344543,22,57.011118
141.210281,29,57.71995
134.05971,29,58.415121
121.984247,26,59.071267
198.766384,45,60.163054
115.568272,24,60.754184
212.142925,41,61.753126
91.297744,19,62.20579
94.245016,20,62.685378
132.547933,29,63.360641
88.331207,19,63.830734
98.21167,20,64.308371
76.460572,16,64.707583
127.331936,28,66.014084
106.814938,22,66.535324
123.421499,25,67.16984
173.063168,37,68.086776
133.866142,31,68.840695
112.0568,24,69.412263
108.551605,24,69.984883
142.73195,30,70.717571
186.066411,42,71.73997
80.740585,17,72.155051
160.380437,32,72.943866
86.623099,18,73.380704
102.33597,24,73.986159
129.093318,26,74.609473
122.665553,25,75.21998
83.928147,18,75.650681
168.193452,37,76.536277
210.316793,46,77.648142
210.714239,45,79.359841
351.952374,77,81.276927
83.262691,18,81.7242
108.010101,22,82.260133
99.334925,21,82.797408
136.780931,29,83.521775
84.933754,18,83.975376
186.343553,42,85.023659
233.700718,46,86.144522
342.859724,75,87.953429
80.250561,17,88.364027
206.060826,44,89.472969
211.303448,48,90.682368
151.083998,35,92.150248
191.667121,38,93.093979
211.393113,44,94.1892
300.953984,62,95.754189
118.720226,27,96.412814
226.136019,45,97.523994
185.709724,37,98.447601
247.862865,49,99.698405
133.522835,29,100.407568
145.415251,31,101.187567
327.386939,61,102.689396
285.182386,60,104.149354
224.086126,48,105.956168
262.632661,55,107.337953
298.615483,66,109.014184
303.023203,62,110.562516
343.928265,67,112.230538
341.777452,77,114.144725
410.344996,78,116.147063
268.439827,63,117.718142
245.245709,47,119.493682
247.02054,51,120.802749
126.671649,28,121.485456
323.346129,64,123.100165
439.253989,98,125.560556
183.997245,38,126.516058
685.37447,131,129.854763
227.680464,47,131.042212
211.64093,49,132.898929
254.981473,55,134.289603
456.626562,102,136.872461
240.68712,54,138.221822
290.010706,67,139.932097
312.56628,61,141.457599
350.203784,72,143.260241
422.467094,96,146.233031
211.208481,44,147.325789
291.879891,58,148.814159
209.470168,45,149.943619
293.310876,58,151.40731
179.595082,39,152.41426
252.371392,52,153.744848
265.700589,53,155.08624
153.481772,31,155.882088
193.815617,39,156.868769
318.189579,73,159.339611
210.576715,44,160.474403
245.07945,50,161.791728
430.051802,85,163.966697
232.879605,46,165.149951
350.652386,68,166.884133
354.82945,67,168.575968
212.025307,44,169.696195
278.313886,59,171.225525
255.328167,52,173.153105
284.577008,54,174.542362
217.332538,42,175.662253
211.746705,44,176.828258
338.999681,66,178.548869
188.876945,44,179.703762
189.14473,40,180.735914
310.972525,60,182.304416
207.148102,43,183.439082
285.786553,60,185.009712
337.629549,74,187.50274
206.343096,44,188.668035
180.314529,39,189.67954
461.248723,89,191.924206
665.09708,144,195.591384
454.524752,97,198.140077
151.936936,33,199.052679
267.813157,62,201.305529
287.966768,65,203.095544
440.88614,83,205.293752
232.038736,51,206.627028
323.218826,64,208.29484
345.264156,71,210.147028
472.052488,93,212.549348
232.302976,49,213.830798
444.69456,93,216.834392
499.368816,100,219.348407
319.398846,64,220.956241
337.006644,69,222.65156
292.963712,63,224.215617
297.468115,60,225.691849
299.354113,61,227.237419
272.178936,64,229.477817
346.105447,65,231.198017
337.071202,65,232.929072
300.873572,61,234.525218
581.320236,120,237.636372
538.038832,116,240.602478
317.080002,63,242.857095
403.048406,77,244.873278
422.784341,96,247.341964
314.62012,63,248.982073
265.823986,60,250.51572
367.730536,75,252.473553
317.797988,62,254.131962
400.354185,76,256.73814
294.67313,59,258.274361
338.494466,67,260.028622
327.517452,63,261.660648
633.204646,135,265.193584
369.506324,75,267.196527
398.23288,89,269.513397
524.857011,108,272.973673
326.443356,71,274.854341
339.616713,79,276.932412
406.780476,81,279.042994
408.956535,79,281.129991
438.847573,86,283.393766
340.086021,66,285.740165
381.06202,92,288.135908
233.09334,48,289.412101
324.238323,62,291.076616
408.896885,84,293.282014
329.793804,63,294.955374
384.429567,72,296.880567
243.56354,48,298.747346
356.178909,81,300.849968
424.980874,80,302.920085
300.309127,61,304.530209
256.183233,58,306.051468
478.094245,100,308.662402
246.440517,51,310.002939
335.04989,66,311.736735
327.003416,66,314.08607
628.464785,143,317.832504
250.556746,51,319.136108
390.998847,75,321.042415
342.304972,68,322.804943
369.805517,73,324.694087
262.795537,58,326.812964
457.936899,86,329.045357
322.067559,66,330.789108
478.522119,105,333.523071
286.589003,57,335.022793
452.333922,86,337.257377
302.101738,60,338.833931
410.492726,91,341.83384
344.70921,75,343.794803
306.154807,63,345.395638
353.507168,70,347.210896
345.051972,66,348.947515
380.055498,75,350.892102
440.507859,86,353.129153
460.140842,90,356.115589
296.002582,67,357.846656
463.923282,89,360.139759
388.679061,76,362.054988
412.393581,80,364.052571
314.17444,62,365.632033
289.204648,63,367.245313
529.47943,111,370.717793
250.823787,53,372.067729
332.600442,64,373.698098
385.359158,82,375.820974
415.522055,95,378.275566
470.427482,98,380.853494
286.904193,58,382.967334
445.532595,86,385.193868
425.818053,91,387.566389
560.858491,108,390.520273
391.894704,76,392.562637
253.97485,51,393.946537
453.43764,85,396.816468
371.241962,72,398.696172
464.258536,87,400.949238
243.43477,53,402.346241
298.760306,63,404.035139
426.1319,90,406.405798
288.855162,72,408.287897
311.587091,72,410.802681
290.819388,57,412.290762
408.725439,77,414.318058
456.227213,86,416.634238
428.573567,83,418.91881
593.273015,117,422.027991
428.919683,80,424.760793
466.521172,87,427.039288
316.182126,62,428.690758
359.630475,72,430.586781
511.314685,102,433.28333
332.261178,63,434.963094
406.872301,78,437.008583
444.360047,91,440.003599
495.338292,93,442.399665
403.384127,88,444.723792
485.562502,90,447.085396
432.205716,93,449.481056
307.340418,66,451.231677
425.170733,79,453.911639
441.400888,86,456.152225
446.181781,85,458.360601
581.743112,113,461.307118
351.993379,70,463.108658
425.204669,78,465.139673
422.480237,79,467.833658
300.201779,60,469.37346
423.321528,82,471.521971
309.034345,60,473.150776
276.388149,62,474.839862
394.137723,75,476.858852
387.214042,77,478.895483
337.446705,65,481.214583
442.109067,92,483.629562
489.494351,94,486.126232
390.823562,90,488.495619
429.879176,80,490.623086
321.334504,74,492.570397
269.786965,60,494.148407
403.078415,77,496.806455
425.063188,85,499.087876
453.663977,88,501.426797
437.010538,81,503.590613
357.102178,66,505.398844
585.322932,115,508.609885
374.483808,71,511.243678
370.160728,74,513.289593
443.678454,89,515.728616
470.549693,86,518.095699
334.990083,66,519.862486
370.812436,72,521.785137
396.385579,86,524.65396
393.032665,86,526.928207
403.878303,79,529.027353
481.416753,95,531.565169
484.639314,90,533.949509
686.673068,152,538.58347
763.170328,142,542.326083
455.935016,101,544.972875
415.145075,79,547.047669
864.492963,171,551.524384
532.760517,101,554.792037
295.813708,64,556.460218
573.256099,106,559.27933
474.170986,95,561.803725
397.190947,75,563.769454
483.880057,91,566.755566
543.4155,124,570.049078
651.401849,125,573.32561
627.988831,126,576.605042
554.523201,121,580.366644
511.540245,100,582.991711
428.074192,81,585.127259
418.148978,82,587.295261
533.349544,110,590.255015
814.081904,174,595.483882
576.848217,110,598.376244
515.790216,115,601.345009
701.567193,133,604.794864
450.0735,98,607.360637
762.316128,163,612.372594
401.534055,93,614.87943
511.446112,98,617.479855
389.419312,76,619.508261
556.774889,102,622.860034
547.459338,99,625.557247
442.576569,83,627.895439
372.256515,79,630.083112
376.92901,75,632.097744
375.456053,72,634.038217
570.791369,104,637.458466
517.282592,97,640.128142
717.290737,140,643.905753
514.751137,97,646.534272
351.924179,67,648.351625
283.324893,67,650.171953
383.204027,73,652.718883
311.12718,69,654.535856
373.434408,84,656.772024
437.678424,83,659.00072
341.931685,80,661.130432
304.516047,60,662.718255
289.387372,61,664.330408
473.800418,91,667.38215
427.555042,80,669.509619
388.303881,89,671.884619
560.734653,103,674.651404
458.021922,100,677.330339
376.493882,71,679.206543
496.856599,109,682.763344
553.535993,103,685.622688
406.094459,76,687.775577
469.12994,87,690.143892
781.734909,175,695.598798
462.936641,83,697.914631
507.93404,95,700.519626
449.38227,87,702.894648
415.683247,85,705.1705
401.596717,82,707.420564
509.598537,96,710.646796
594.40157,106,713.505539
748.133053,142,717.444307
518.832992,93,720.001606
745.624299,146,724.513732
651.852521,143,728.290538
592.188075,127,731.783502
468.011826,85,734.151808
519.983336,96,736.780637
490.909817,109,740.304684
314.669301,61,741.962998
642.713339,120,745.154823
429.591447,78,747.228405
650.691094,124,750.569339
408.494595,77,753.223293
710.08526,132,756.642303
464.560218,89,759.008533
499.610127,93,761.459512
532.031311,107,764.307069
444.953449,82,766.505396
519.0423,98,769.734331
581.387181,108,772.588288
675.859832,128,776.018732
474.529253,94,778.547348
580.489425,109,782.063379
478.598448,90,784.494584
389.343837,73,786.475156
564.788357,106,789.311103
404.350719,78,791.368953
534.912179,99,794.006861
517.62385,95,797.125543
625.470601,117,800.232625
435.278255,95,802.857209
689.480706,125,806.255947
317.260734,72,808.218267
322.220143,62,810.483592
557.187749,103,813.244886
477.876146,104,816.054874
399.539169,90,818.466553
390.461051,73,820.434314
511.476964,94,822.986241
720.988135,139,827.379731
932.587766,196,832.873809
514.027931,98,835.500942
686.660867,126,839.555892
609.638084,112,842.630772
298.496908,58,844.20567
571.294027,105,847.077635
636.022885,123,850.465872
453.837147,99,853.154314
732.392351,131,857.379582
789.666247,144,861.296506
537.187047,110,864.239584
394.173767,72,866.178052
1003.025971,178,871.580373
644.430618,126,874.978375
634.897635,114,878.025597
846.730239,178,883.394209
