#{"t_start": 1519654445.0031385, "env_id": "Ant-v2", "gym_version": "0.9.7"}
r,l,t
-40.867338,17,0.703718
-122.596306,36,0.914883
-663.763059,211,2.168572
-56.092944,19,2.280063
-84.046668,26,2.431049
-54.374143,17,2.534419
-192.072034,50,2.846067
-111.577549,29,3.009195
-68.364848,31,3.198858
-236.537986,66,3.594066
-345.781965,108,4.614706
-41.88531,11,4.686595
-41.187181,15,4.784586
-238.948083,93,5.331651
-54.408114,13,5.407202
-52.350937,16,5.49691
-81.211808,21,5.633191
-571.903851,165,6.611788
-481.922719,141,7.534574
-64.470063,16,7.640846
-73.188441,28,7.811873
-95.938287,37,8.035677
-206.428296,71,8.451135
-101.127569,33,8.651972
-348.312182,120,9.355163
-128.576797,43,9.618785
-2976.548585,1000,15.850423
-149.318131,67,16.242264
-320.1158,113,16.996814
-40.861135,11,17.061429
-63.868036,24,17.198955
-409.165777,139,18.062537
-38.5281,16,18.153905
-64.410648,26,18.305
-58.313748,20,18.421491
-76.422585,22,18.549684
-115.817775,41,18.818293
-143.967878,45,19.080959
-235.9274,76,19.514925
-217.681165,70,20.01463
-83.061147,29,20.190747
-68.11847,26,20.344162
-63.565485,18,20.448815
-39.613133,18,20.55891
-344.234531,111,21.227
-103.264768,42,21.475356
-144.778963,49,21.791108
-428.927183,152,22.708778
-59.858674,19,22.82657
-2701.064114,1000,28.989959
-48.491186,23,29.126875
-142.234797,59,29.555368
-123.488811,64,29.96136
-86.961905,40,30.19375
-44.504535,15,30.283751
-57.619437,20,30.399294
-50.933771,18,30.503823
-344.088312,137,31.345585
-20.190611,11,31.411879
-76.742773,33,31.607366
-186.204125,75,32.070667
-188.51976,71,32.55739
-420.231866,176,33.607551
-71.420928,28,33.791098
-70.038894,23,33.921386
-163.038334,57,34.25819
-181.014224,70,34.681493
-77.04907,33,34.875719
-36.167845,13,34.952276
-121.408078,46,35.221922
-45.063115,27,35.383838
-67.435646,29,35.634843
-41.915893,17,35.751634
-296.146629,132,36.523931
-63.635061,18,36.641745
-48.838331,19,36.754476
-39.436559,14,36.836214
-195.211709,67,37.225024
-42.612385,18,37.330047
-59.26875,24,37.470865
-90.300737,47,37.764429
-130.101512,50,38.063545
-33.917995,16,38.157629
-33.146129,16,38.253323
-128.460718,42,38.493948
-202.317903,89,39.113945
-110.1487,45,39.386762
-54.852014,17,39.481241
-84.531251,28,39.659223
-131.281531,49,39.949702
-70.371146,44,40.203667
-63.148337,32,40.392487
-111.893217,50,40.695572
-246.795824,94,41.246856
-57.338065,19,41.355711
-49.675701,24,41.495643
-51.793534,15,41.586921
-38.725897,13,41.674527
-238.851161,107,42.390102
-32.807659,13,42.466721
-153.731215,63,42.864996
-2363.898459,1000,49.034465
-155.665677,54,49.345956
-141.808636,70,49.794665
-25.059011,22,49.946083
-340.276129,132,50.757376
-68.933307,33,50.947912
-92.458848,33,51.143618
-30.481986,17,51.245443
-91.188322,39,51.551623
-83.666697,69,51.992959
-72.521777,34,52.192773
-115.484169,61,52.546059
-277.890255,153,53.472164
-48.343675,30,53.658903
-38.567706,27,53.822319
-21.625622,15,53.913305
-42.137906,21,54.03528
-61.230525,22,54.163767
-83.163817,32,54.354751
-191.171576,75,54.91156
-93.394607,40,55.154122
-99.8697,43,55.403569
-86.694262,50,55.712571
-104.849857,41,55.955921
-64.640438,54,56.274753
-106.449336,40,56.507993
-137.896668,70,56.941991
-39.998106,25,57.09033
-141.492548,88,57.606102
-34.829787,14,57.773523
-46.886356,26,57.927872
-134.497215,70,58.337577
-27.561882,14,58.418306
-40.334426,21,58.53695
-247.926626,108,59.222573
-87.451444,50,59.515106
-248.758794,114,60.193615
-143.640975,91,60.754622
-35.604059,17,60.938609
-135.095369,53,61.253249
-114.671734,42,61.504573
-47.435935,28,61.682598
-285.876377,106,62.310618
-44.832112,26,62.459963
-95.291459,32,62.665573
-87.47998,44,62.941884
-79.198033,39,63.168086
-106.432171,48,63.450084
-70.519233,33,63.659554
-21.393797,20,63.789974
-62.550221,29,63.970223
-146.000455,74,64.48106
-49.51166,21,64.614301
-49.64862,21,64.747419
-171.040096,119,65.452115
-128.787303,57,65.805209
-2056.94717,1000,71.956285
-84.225551,37,72.179541
-120.27187,68,72.594524
-94.236646,50,72.89139
-135.347653,69,73.29805
-28.497419,19,73.407287
-109.967723,72,73.942139
-128.059112,95,74.505958
-78.349902,58,74.87668
-103.671009,88,75.397519
-67.438665,44,75.669576
-60.449523,28,75.841535
-87.726253,42,76.095663
-121.666948,55,76.41873
-25.722898,13,76.493722
-28.492179,22,76.631732
-47.813661,31,76.898575
-33.459064,15,76.987488
