#{"t_start": 1519654445.0896773, "env_id": "Ant-v2", "gym_version": "0.9.7"}
r,l,t
-45.025656,12,0.588552
-55.511788,22,0.717761
-231.87032,72,1.138981
-33.282456,11,1.204411
-75.738067,52,1.512989
-98.696759,33,1.718792
-67.596384,22,1.847994
-49.808072,18,1.954046
-228.044837,70,2.363427
-484.634485,178,3.430878
-179.341769,58,4.143064
-72.667099,23,4.281504
-112.369815,42,4.546912
-177.436368,45,4.829338
-212.883866,69,5.233898
-143.688853,39,5.45774
-120.929234,39,5.709828
-220.977694,60,6.057394
-148.441593,45,6.318715
-287.576365,98,6.91014
-86.412533,34,7.193788
-365.286076,100,7.803715
-225.443802,84,8.302184
-183.804942,66,8.69738
-62.767917,25,8.844433
-343.797409,82,9.323231
-84.340474,26,9.474596
-65.541516,25,9.646392
-77.183047,24,9.809647
-73.593262,26,9.965789
-85.848618,29,10.13314
-124.309856,34,10.412435
-168.815566,57,10.774808
-404.127315,132,11.563302
-23.217268,11,11.632704
-207.880077,68,12.032681
-267.008416,93,12.596304
-92.19038,31,12.795697
-2788.221899,1000,18.981552
-47.953819,21,19.095733
-344.54827,129,19.941453
-29.319688,12,20.012209
-192.556581,73,20.447783
-106.770478,30,20.641908
-69.536321,43,20.894912
-26.432764,9,20.947646
-71.528172,32,21.134973
-128.304837,45,21.400799
-334.228016,142,22.268209
-60.087644,16,22.357231
-54.629298,18,22.463118
-26.230879,11,22.535036
-23.508622,16,22.647194
-34.864618,16,22.744183
-212.01608,65,23.209686
-61.582781,29,23.383395
-87.208148,27,23.550486
-52.395375,24,23.710853
-225.090231,66,24.090331
-312.33921,122,24.833939
-107.993136,39,25.05976
-68.610382,21,25.188325
-95.680919,33,25.381548
-61.236595,16,25.473108
-84.555079,30,25.672542
-15.169746,8,25.719291
-74.372268,32,25.904873
-63.645799,23,26.120036
-50.891933,14,26.201816
-61.013519,18,26.307612
-199.091826,91,26.880662
-22.173782,9,26.931976
-126.928663,40,27.160944
-67.167221,21,27.284198
-135.806701,38,27.514848
-2585.811828,1000,33.687199
-28.456084,15,33.77222
-226.766912,78,34.227648
-170.850989,65,34.623693
-29.812815,20,34.743201
-284.995917,99,35.326645
-69.693012,46,35.696707
-259.760874,91,36.230515
-14.19683,12,36.300574
-96.08199,38,36.52843
-59.782096,35,36.739425
-27.931336,15,36.825988
-76.426285,34,37.020108
-2459.878844,1000,43.156929
-29.760773,12,43.225702
-30.894345,17,43.324827
-59.055216,24,43.466269
-64.618879,17,43.57534
-15.643223,10,43.640455
-91.321377,39,43.872973
-122.317722,40,44.108454
-20.606997,15,44.198449
-21.930842,23,44.332059
-491.054111,200,45.637554
-43.694779,23,45.784075
-33.860893,14,45.865763
-160.082607,63,46.233222
-36.687885,14,46.316661
-47.053306,14,46.398021
-103.247642,51,46.712499
-45.899035,28,46.877385
-179.879473,67,47.270301
-80.077869,29,47.442629
-122.45261,43,47.710325
-48.356512,32,47.895034
-50.942336,24,48.110623
-68.394941,30,48.292392
-178.019647,63,48.69033
-97.106693,39,48.92458
-143.75595,47,49.196093
-61.599095,18,49.302459
-359.137202,147,50.238553
-38.037809,14,50.319406
-26.482001,12,50.393932
-50.65487,14,50.479261
-20.843919,17,50.591434
-41.130525,22,50.725291
-61.67242,23,50.855146
-266.293552,82,51.417375
-111.892663,37,51.662355
-51.994682,23,51.802791
-42.876659,15,51.892084
-37.845101,21,52.015368
-51.31391,34,52.211678
-127.930812,43,52.466233
-27.524489,18,52.588946
-112.735262,64,52.978795
-22.824214,12,53.049435
-37.65426,35,53.250858
-73.688917,29,53.421191
-63.474459,28,53.59831
