#{"t_start": 1519654444.9892266, "env_id": "Ant-v2", "gym_version": "0.9.7"}
r,l,t
-280.921354,77,1.077614
-244.657329,79,1.531517
-69.102342,24,1.685935
-74.969498,25,1.838659
-28.451831,22,1.966734
-57.29778,17,2.064382
-41.558519,12,2.134542
-36.145052,13,2.213494
-271.51404,88,2.750219
-106.576637,30,2.920204
-57.838281,18,3.023259
-246.724128,77,3.482916
-3154.248757,1000,9.957303
-123.120588,39,10.185702
-45.957861,15,10.273157
-95.768551,29,10.523265
-63.610514,20,10.661823
-157.351448,64,11.043135
-353.358408,120,11.77158
-72.750501,29,11.938363
-106.633356,53,12.253489
-2951.504038,1000,18.446684
-67.006433,38,18.68289
-230.028118,80,19.160498
-89.781775,30,19.327469
-20.525173,14,19.413409
-48.122092,30,19.590415
-174.893215,51,19.976543
-117.05591,48,20.266008
-39.778262,13,20.340908
-197.683466,69,20.765959
-2604.489611,1000,26.967719
-203.501477,62,27.326064
-37.962903,21,27.450449
-97.713221,44,27.72375
-167.975179,60,28.079921
-43.167567,21,28.200351
-80.034924,29,28.369581
-62.581494,24,28.509083
-52.299104,17,28.614296
-98.615424,34,28.820935
-119.969357,71,29.24495
-31.885341,18,29.428015
-24.390673,15,29.518492
-157.732393,51,29.848481
-2635.640192,1000,35.996366
-109.04888,71,36.413785
-180.843187,75,36.861567
-102.134049,41,37.100776
-168.653924,64,37.472498
-127.068405,59,37.83986
-124.161073,44,38.101333
-189.177036,107,38.811449
-33.319236,31,39.001813
-302.200114,93,39.552526
-43.396111,26,39.718977
-124.16186,42,39.967724
-80.180423,28,40.129483
-47.821654,23,40.264113
-129.18465,38,40.48428
-80.584675,42,40.746719
-167.818341,68,41.14194
-13.731439,8,41.190555
-81.461817,31,41.368473
-224.882453,74,41.829344
-56.977624,16,41.997878
-197.337037,76,42.44762
-180.210681,70,42.886582
-89.874077,30,43.060732
-61.064373,32,43.248269
-112.259915,47,43.52242
-379.068453,152,44.433722
-650.047598,283,46.235505
-37.609154,16,46.327311
-2282.178212,1000,52.541944
-17.275097,11,52.613291
-23.579463,11,52.690103
-113.236151,49,52.99121
-112.939287,45,53.254132
-86.438551,41,53.491415
-83.552776,40,53.7399
-24.003114,10,53.798277
-42.930883,19,53.914726
-121.413237,66,54.305175
-165.712499,92,54.963904
-62.695622,21,55.088963
-2147.689578,1000,61.255058
-72.178797,34,61.455421
-34.151515,24,61.603472
-43.023997,20,61.737089
-2215.290566,1000,67.907294
-27.695509,13,67.986429
-23.049227,9,68.038301
-45.071123,21,68.160831
-35.513784,14,68.248309
-20.040508,14,68.333018
-38.328435,19,68.446318
-39.105333,15,68.532636
-71.012722,31,68.726982
-35.296957,22,68.855206
-68.008681,30,69.033602
-69.209544,23,69.171924
-100.750286,38,69.391305
-76.08964,46,69.677634
-81.417961,72,70.112419
-206.326468,88,70.723625
-92.391282,51,71.034766
-57.700203,23,71.16927
-45.261091,24,71.310955
-118.88766,104,71.935199
-31.9971,17,72.039383
-57.821946,31,72.224311
-43.518832,26,72.382249
-530.821557,270,74.094559
-85.325756,28,74.261141
-64.561897,35,74.467717
-39.340118,24,74.615664
-48.914043,22,74.765485
-41.113252,13,74.844463
-128.403152,67,75.237225
-71.660893,34,75.439386
-78.122968,37,75.67133
-115.945733,49,75.971201
-93.044865,48,76.256525
-113.005403,42,76.502046
-95.729774,51,76.891907
-63.715106,43,77.154234
-37.846082,22,77.291984
-119.854939,52,77.59543
-33.149034,16,77.703382
-28.228863,21,77.835842
-91.532607,71,78.258322
-70.63503,50,78.550316
-115.419024,80,79.056347
-122.315065,58,79.396241
-72.894301,53,79.72557
-35.481176,29,79.979367
-66.166989,32,80.170295
-21.419152,16,80.263286
-58.78991,27,80.42121
-47.290478,23,80.559075
-17.760759,16,80.666984
-8.210198,10,80.73385
-175.740095,110,81.389595
-41.548823,16,81.4843
-33.980265,15,81.57376
-33.735304,14,81.665901
-24.136531,14,81.754641
-86.06274,26,81.90886
-130.954524,49,82.207813
-12.109534,12,82.279161
-26.385502,34,82.479416
-1859.296268,1000,88.735598
-57.335263,26,88.894972
-16.286621,16,88.985516
-11.293725,13,89.063494
-89.273277,56,89.389911
-15.170238,10,89.517063
-28.752764,18,89.630559
-36.098977,21,89.762578
-51.282868,22,89.896246
-57.8231,43,90.145517
-151.952733,94,90.709394
-16.107397,13,90.79848
-47.792453,13,90.873705
-53.412915,26,91.021715
-54.36456,18,91.129436
-1661.341409,1000,97.291986
-65.723552,26,97.445605
-59.973725,66,97.839501
-39.73022,21,97.965583
-17.084832,22,98.0967
-33.462798,15,98.186128
-140.097895,84,98.697409
-109.767752,52,99.077979
-16.842031,11,99.141988
-20.831473,11,99.207847
-3.051806,18,99.312459
-37.203086,31,99.490274
-32.978818,21,99.618608
-26.750387,10,99.679443
-28.732402,12,99.749289
-111.399544,61,100.102609
-23.22487,14,100.187605
-42.081164,20,100.306144
-93.482157,44,100.562844
-88.926583,43,100.826046
-76.865337,65,101.214444
-26.969544,22,101.340462
-117.632207,105,101.963535
-36.455574,48,102.318486
-12.202142,14,102.399035
-24.346797,10,102.456254
-41.495321,17,102.553303
-17.550924,16,102.662006
-52.335117,27,102.83391
-138.897987,72,103.258339
-52.262926,23,103.38939
-17.127724,12,103.456342
-1555.496771,1000,109.618157
-50.342591,24,109.781272
-95.111119,50,110.073916
-16.431414,12,110.142562
-31.647525,30,110.316513
-10.020755,12,110.387205
-57.627427,45,110.659294
-26.819541,21,110.783325
-66.738018,68,111.199684
-18.80521,16,111.293641
-65.761975,78,111.845064
-30.248179,24,111.982363
-144.401227,87,112.497291
-29.275008,33,112.706232
-140.067061,71,113.129953
-68.118932,38,113.358469
-43.741637,21,113.482492
-17.061294,15,113.573272
-46.214906,35,113.78802
-182.272477,87,114.301716
-24.517498,22,114.428767
-93.828977,65,114.896742
-64.170393,39,115.135742
-33.317477,30,115.312242
-22.14467,14,115.393602
-13.740737,14,115.479321
-146.878438,78,115.947448
-27.26888,20,116.065097
-64.711525,33,116.252037
-6.343146,15,116.342613
-39.582819,30,116.518619
-53.142094,34,116.732205
-11.858909,10,116.791379
-39.648974,16,116.885516
-121.152505,58,117.227475
-12.130228,11,117.294059
-18.024189,13,117.368223
-8.964661,18,117.469637
-55.499282,19,117.581152
-152.127075,98,118.264784
-51.386076,29,118.436448
-88.241197,61,118.805697
-75.20103,64,119.180119
-143.054376,101,119.792156
-1272.092473,1000,126.032426
-41.0184,43,126.286215
-16.463905,14,126.368847
-3.012708,11,126.431219
-29.337585,46,126.714599
-33.58742,27,126.86603
-46.326777,25,127.012768
-21.828164,7,127.054774
-10.733214,13,127.128344
-108.596301,46,127.478727
-13.327573,23,127.619963
-60.456654,31,127.837119
-32.045522,23,127.978889
-37.026148,28,128.141185
-19.940069,11,128.205006
-23.794178,10,128.263103
-30.7891,56,128.605723
-37.456411,24,128.773211
-20.710372,25,128.924455
-26.537926,24,129.059556
-48.123196,28,129.224281
-28.186322,23,129.359629
-78.182767,47,129.637347
-21.619461,12,129.716003
-85.764198,52,130.024131
-27.262748,55,130.345639
-106.247849,52,130.748536
-67.854513,43,131.007806
-92.508549,51,131.30165
-62.792374,98,131.896251
-53.274549,27,132.055656
9.303094,25,132.20361
-8.371156,11,132.266622
