#{"env_id": "Humanoid-v2", "t_start": 1519555777.6136732, "gym_version": "0.9.7"}
r,l,t
86.992434,19,3.945192
190.246131,41,4.831193
85.422496,18,5.228657
114.216498,25,5.77543
114.311747,24,6.313473
118.191668,24,6.851529
102.779555,22,7.357764
163.414445,35,8.167287
84.808262,18,8.568211
76.24962,16,8.926763
79.294432,17,9.323773
74.985222,16,9.684934
100.015228,21,10.187177
75.648046,16,10.544659
81.030845,17,10.933993
86.961098,18,11.37388
80.618474,17,11.765108
103.771195,22,12.286096
95.604446,20,12.731985
76.66686,16,13.124852
95.983454,21,13.61144
86.447349,18,14.01845
142.96983,31,14.708675
78.282598,17,15.112085
80.866134,17,16.349624
89.752421,19,16.794827
108.09697,22,17.309683
92.455674,19,17.74287
154.987448,34,18.51822
81.032586,17,18.89906
90.861262,20,19.381774
80.662255,17,19.770122
83.425719,17,20.158253
75.514793,16,20.520593
152.597446,34,21.288927
148.781946,32,22.031293
80.858552,17,22.411752
76.213139,16,22.778057
91.978023,19,23.228837
131.251133,28,23.867457
86.414756,18,24.32324
94.101976,20,24.778885
95.867663,20,25.26035
83.703747,18,25.673974
80.847457,17,26.079252
81.34379,17,26.46805
81.231442,17,26.857886
140.765985,30,27.553515
73.58148,16,28.532665
81.872504,17,28.919521
136.073201,31,29.648275
111.56398,24,30.217384
87.004961,18,30.632138
117.849033,24,31.197066
101.344599,22,31.691924
85.930015,18,32.12541
77.139437,16,32.514174
96.913907,20,32.977002
71.691495,15,33.333023
113.300694,24,33.881259
131.333219,28,34.541705
172.677719,35,35.373051
123.292832,26,35.974439
91.094013,19,36.431287
71.225074,15,36.774137
85.61896,18,37.211277
80.410632,17,37.603515
81.425316,17,38.005851
102.832134,21,38.492933
76.30488,16,38.863815
82.886398,17,39.264412
86.69033,18,39.674554
304.074518,62,41.73426
124.838839,28,42.420287
87.919851,20,42.88637
73.855818,16,43.287729
128.945011,28,43.934574
88.920628,19,44.409094
130.303926,27,45.056339
80.710839,17,45.456959
86.250927,18,45.872952
124.294979,26,46.499396
177.713022,42,47.494438
116.775179,25,48.088245
180.917365,40,49.042217
103.110142,22,49.564933
90.838233,19,50.023926
70.909089,15,50.376317
89.939707,19,50.814778
72.471879,16,51.217533
218.179039,50,52.368861
126.142687,26,52.966619
109.149849,24,54.174446
148.553309,32,54.926472
142.260945,31,55.683212
144.256355,31,56.424003
81.015034,17,56.830242
114.84581,24,57.405128
119.490686,28,58.075551
195.878693,47,59.230473
85.733888,19,59.682352
100.224628,21,60.213734
92.451389,21,60.719142
101.690665,21,61.236001
175.299145,38,62.166296
103.893561,23,62.716058
102.608476,22,63.259625
72.151802,16,63.637311
98.005092,23,64.187757
156.216459,35,65.008928
211.843988,46,66.152878
154.937794,36,67.637313
260.126525,56,69.018071
98.274542,20,69.524364
84.895796,19,69.985048
126.686318,25,70.579337
94.498597,20,71.067454
201.454369,42,72.083686
83.293106,18,72.51735
86.428732,18,72.941173
