#{"env_id": "Humanoid-v2", "t_start": 1519555780.8145778, "gym_version": "0.9.7"}
r,l,t
92.824519,20,0.780997
75.882675,16,1.125631
80.866779,17,1.489552
158.091655,32,2.186374
85.027882,18,2.584572
102.809184,21,3.056017
110.873457,24,3.594606
76.206476,16,3.965949
81.060625,17,4.350093
85.713096,18,4.759217
94.125999,21,5.240658
94.49306,20,5.689582
79.945307,17,6.088387
96.316432,21,6.564189
123.356993,30,7.264806
221.300469,48,8.387535
80.866407,17,8.787442
91.863836,19,9.228852
95.814904,20,9.679146
86.11461,18,10.133731
104.924107,23,10.640948
75.95377,16,11.013595
76.45611,16,11.363312
88.170215,19,11.807806
101.861949,21,13.136243
120.204251,25,13.724514
81.210435,17,14.120346
85.227199,18,14.531019
100.590231,21,15.008691
103.3718,22,15.506253
91.689323,21,16.008713
96.07718,24,16.557249
74.914938,16,16.923816
74.883206,16,17.285366
94.517762,21,17.750247
90.40427,19,18.187202
93.082068,20,18.649396
190.195437,41,19.587514
79.979887,17,19.99441
78.899304,17,20.378087
76.038077,16,20.743481
86.638053,19,21.222224
73.179446,16,21.589547
80.439576,17,22.003863
82.572294,18,22.413214
86.220228,18,22.839435
85.897999,18,23.25536
81.118981,17,23.645113
79.786371,17,24.047777
81.296116,17,24.429746
130.499752,28,25.684052
239.963898,49,26.842041
126.231024,29,27.51371
82.889952,18,27.937282
80.71158,17,28.322321
110.86548,24,28.885632
152.055496,34,29.694114
89.117524,19,30.142026
182.261837,38,31.032254
135.607761,29,31.694449
89.455236,19,32.160793
108.487043,23,32.690837
80.59026,17,33.103855
127.565611,27,33.724508
168.733303,35,34.557745
80.563317,17,34.956438
76.105946,16,35.327539
149.974786,30,36.029636
92.474256,20,36.48442
76.379724,16,36.860068
220.117578,47,38.567883
84.361025,19,39.039064
151.628013,33,39.827728
115.397359,24,40.400492
76.445703,16,40.770747
158.457481,33,41.567167
206.566476,45,42.633872
166.241494,35,43.476116
93.656186,20,43.962161
75.720005,16,44.327896
161.291442,36,45.178636
155.412891,33,45.971942
72.6482,16,46.35114
80.592025,17,46.756279
79.829437,17,47.163017
147.576552,30,47.87025
142.705698,31,48.59759
110.914523,24,49.155997
78.896928,17,49.544382
98.345162,21,50.062349
132.078968,27,51.314524
225.048584,46,52.423835
100.226225,21,52.925413
215.212796,41,53.91243
136.047036,28,54.564124
73.473854,17,54.990554
91.826062,19,55.444383
185.210734,40,56.420386
114.296387,24,57.025224
117.407541,27,57.672229
77.905521,17,58.096103
191.425488,42,59.123049
222.799066,43,60.164894
96.385088,22,60.684939
146.093774,31,61.416489
95.277323,20,61.901593
127.432314,26,62.527177
104.335359,23,63.724965
86.382049,18,64.161219
107.743135,22,64.682912
124.34611,29,65.410808
201.107699,42,66.453055
229.573741,46,67.559396
146.796089,29,68.254
93.230592,21,68.754287
116.178004,25,69.37524
214.269862,47,70.521412
150.736974,30,71.264409
169.500769,36,72.159174
110.539865,23,72.708354
141.620521,33,73.510684
84.553544,18,73.953195
85.39207,18,74.379038
101.042347,22,74.908404
96.96584,20,75.386786
188.9707,39,76.950671
125.63707,25,77.557869
208.644824,41,78.550436
120.24333,25,79.208827
178.5341,36,80.093377
98.648851,20,80.578628
310.865574,65,82.221015
167.949572,35,83.101497
167.528631,38,84.030391
271.600356,54,85.309121
180.336928,42,86.342643
86.078705,18,86.785366
89.855147,19,87.276199
208.30678,43,88.359577
99.572469,21,88.886806
193.436632,43,90.546407
228.709108,49,91.762164
152.148755,32,92.556872
187.854562,40,93.563984
433.509198,78,95.500263
248.316738,53,96.828186
219.552147,51,98.123192
194.932457,44,99.214544
89.666438,19,99.674924
106.574478,22,100.226557
225.848126,50,101.445376
86.295924,18,101.885019
179.550226,38,103.416646
131.395759,28,104.129475
147.890432,30,104.884039
168.269557,35,105.757259
179.507083,40,106.773832
280.108384,55,108.163924
217.487138,49,109.397783
188.468047,41,110.402782
189.106056,41,111.392876
232.913307,45,112.539791
