#{"t_start": 1519654444.9803195, "env_id": "Ant-v2", "gym_version": "0.9.7"}
r,l,t
-192.884371,52,0.933024
-164.531281,47,1.210039
-488.134027,163,2.178849
-165.782519,57,2.516266
-703.227924,200,4.083733
-145.769233,43,4.3374
-77.663618,31,4.522213
-194.450171,64,4.931832
-161.785015,59,5.280294
-146.606171,39,5.504639
-59.295203,22,5.642097
-95.890075,36,5.86896
-179.441318,57,6.197675
-314.651795,95,6.763301
-3123.305789,1000,12.967883
-2866.501628,1000,19.146003
-21.855403,12,19.210911
-304.529247,96,19.861867
-208.557096,82,20.350569
-127.650229,54,20.68499
-80.213992,26,20.840023
-292.76029,96,21.405418
-103.761079,41,21.658199
-88.906623,28,21.837917
-137.728834,43,22.091043
-151.357645,49,22.383199
-70.439275,23,22.510488
-104.699975,28,22.696206
-134.172457,56,23.118939
-135.426954,47,23.398507
-215.070843,76,23.870829
-111.576968,39,24.097979
-51.489697,15,24.182666
-76.907354,24,24.324984
-119.161286,41,24.568435
-116.986227,53,24.902832
-95.399949,26,25.052528
-392.172829,131,25.84657
-28.793027,11,25.909105
-75.522547,20,26.027766
-55.422879,48,26.388762
-23.315859,13,26.471668
-69.482717,24,26.619029
-8.944228,8,26.674916
-98.684673,39,26.920909
-191.147613,64,27.287781
-31.139902,23,27.422495
-968.497165,315,29.383856
-168.610461,43,29.648244
-163.86491,56,29.996673
-83.474012,47,30.270758
-46.392053,19,30.386449
-60.200391,17,30.481043
-104.825932,38,30.724199
-42.095836,16,30.836559
-29.913778,11,30.906705
-143.402483,78,31.354884
-129.070594,50,31.657603
-160.359605,60,32.029862
-98.097019,37,32.24811
-29.718919,11,32.307371
-18.20599,11,32.371403
-121.242293,32,32.637971
-250.877501,88,33.159218
-49.115142,21,33.282548
-39.593746,17,33.378338
-69.777138,26,33.53398
-100.584802,48,33.843619
-85.156745,32,34.029415
-102.247169,33,34.220743
-115.436001,54,34.544155
-210.148786,84,35.046101
-180.983114,69,35.451128
-175.636015,88,36.069047
-145.64316,51,36.366733
-130.188843,77,36.82818
-50.905558,28,36.996646
-35.028282,14,37.075664
-2508.32093,1000,43.207369
-117.183018,39,43.436097
-73.823137,33,43.635166
-43.765239,15,43.734342
-100.494064,37,43.954639
-56.40163,18,44.058007
-35.790408,15,44.148323
-298.878822,97,44.743381
-69.641532,27,44.905023
-2327.535419,1000,51.120095
-40.122597,14,51.201402
-151.858403,66,51.686591
-53.340355,23,51.833665
-333.155181,151,52.750331
-20.053786,16,52.841779
-87.481434,33,53.042061
-144.37927,56,53.369175
-28.266789,14,53.447773
-95.47735,40,53.695416
-127.021846,58,54.042908
-256.770892,102,54.735028
-15.144774,9,54.795763
-129.653765,68,55.220771
-2292.447155,1000,61.38518
-51.967724,52,61.709433
-40.419927,25,61.854283
-60.665657,23,61.991955
-132.072096,69,62.398188
-230.286338,112,63.083679
-84.408176,26,63.239373
-53.543853,17,63.341158
-192.438823,96,63.937938
-37.054037,22,64.138937
-42.375793,19,64.25309
-89.13415,46,64.52846
-90.897876,34,64.747433
-59.45512,50,65.043811
-100.005723,46,65.317433
-72.477709,31,65.497298
-35.89984,20,65.616189
-15.168467,9,65.6748
-51.510658,17,65.785316
-110.821544,63,66.158742
-69.502351,35,66.365405
-26.680902,17,66.46658
-53.078717,33,66.668628
-99.57309,27,66.827298
-81.300317,29,66.999359
-110.37971,47,67.350243
-75.196307,26,67.502757
-39.62958,14,67.593081
-38.978576,12,67.671764
