#{"t_start": 1519722024.729767, "env_id": "Ant-v2", "gym_version": "0.10.2"}
r,l,t
-3206.18952,1000,6.979019
-82.537407,29,7.226701
-152.230643,31,7.412442
-124.279219,34,7.613993
-424.596497,143,8.473184
-87.42904,21,8.600309
-163.941993,44,8.862889
-129.461887,55,9.195713
-181.484063,72,9.619124
-196.700092,61,10.008158
-350.223521,92,10.62491
-233.692064,82,11.125604
-243.390051,78,11.594407
-212.641552,51,11.897161
-42.615003,20,12.038275
-213.032345,56,12.370731
-2980.236166,1000,18.534909
-92.538819,32,18.719873
-54.59204,18,18.825596
-45.396888,17,18.943732
-188.78157,83,19.435472
-130.281603,53,19.744366
-181.735428,80,20.310517
-43.220148,17,20.413614
-2939.835226,1000,26.580444
-170.094234,62,26.954879
-85.295947,33,27.152392
-109.163298,24,27.292783
-233.774495,89,27.816871
-56.431104,15,27.919182
-132.143286,49,28.208431
-33.837028,10,28.265657
-62.024409,14,28.349159
-163.033094,57,28.687742
-151.309207,73,29.116022
-121.683081,46,29.456728
-334.251074,98,30.056425
-215.194211,68,30.45007
-428.551655,137,31.288748
-115.165014,30,31.465398
-184.527447,52,31.77214
-2977.438277,1000,37.919907
-107.604043,38,38.172285
-76.676356,25,38.319189
-3014.977532,1000,44.473962
-80.692929,21,44.598301
-49.117617,18,44.708484
-3036.133774,1000,50.846725
-119.434794,33,51.079404
-72.490901,16,51.174471
-104.635745,20,51.362917
-59.052892,21,51.489074
-140.935341,52,51.798336
-153.967611,49,52.098754
-29.887376,14,52.179099
-418.568754,132,52.978501
-41.749843,21,53.100076
-77.100046,32,53.285792
-48.266424,14,53.36321
-81.133564,25,53.512516
-47.961651,16,53.605465
-105.173354,38,53.827447
-43.436471,10,53.898087
-36.837858,12,53.968584
-38.223366,9,54.023687
-37.258535,8,54.07368
-110.031474,24,54.223629
-40.542706,15,54.319925
-40.567829,13,54.399997
-50.371444,14,54.555907
-113.290189,25,54.710559
-22.900578,10,54.768611
-24.455133,12,54.846646
-43.186425,11,54.918399
-1759.161979,565,58.391887
-25.334824,11,58.458091
-123.885473,31,58.638528
-54.807875,13,58.720499
-148.779435,62,59.116213
-71.294656,17,59.22061
-29.44833,11,59.285768
-179.95521,59,59.634791
-78.046837,25,59.783854
-24.750971,12,59.858898
-33.954063,10,59.92147
-45.561872,14,60.007698
-72.855759,18,60.112162
-30.230198,12,60.183936
-47.713631,23,60.317761
-81.130344,17,60.414538
-229.267579,61,60.850411
-76.155846,19,60.980239
-53.665589,13,61.05732
-53.466921,14,61.144083
-144.410871,40,61.379977
-620.701293,196,62.539584
-42.585624,13,62.612947
-167.00419,42,62.865122
-45.072004,12,62.945132
-123.003645,29,63.120448
-74.824979,26,63.274004
-24.432223,11,63.339327
-137.801578,43,63.588002
-31.913327,12,63.658687
-51.175149,13,63.738984
-51.206905,15,63.830775
-106.159501,29,64.098288
-61.632746,23,64.253659
-24.5481,10,64.313982
-97.083056,41,64.55688
-155.875257,48,64.843469
-266.40592,76,65.296044
-269.895101,93,65.843849
-143.152602,36,66.081159
-252.180497,74,66.509422
-129.721509,34,66.706359
-58.688994,19,66.821786
-274.977498,65,67.3153
-43.043699,11,67.37682
-186.33233,57,67.706651
-140.92209,35,67.928061
-26.737181,10,67.986833
-52.409096,18,68.092659
-43.170475,14,68.176278
-57.99608,14,68.260166
-175.93074,65,68.647921
-159.569768,39,68.885467
