#{"t_start": 1519722024.3126817, "env_id": "Ant-v2", "gym_version": "0.10.2"}
r,l,t
-211.499962,71,1.544249
-803.821075,264,3.108465
-3093.585127,1000,9.481908
-280.656678,81,9.958277
-175.293176,54,10.285479
-103.460573,31,10.488885
-73.655399,25,10.633083
-197.826385,58,11.052566
-97.697639,27,11.213452
-113.649609,27,11.38787
-88.670979,23,11.52299
-53.593525,15,11.612864
-119.276611,39,11.850206
-3095.878274,1000,18.029421
-124.550041,46,18.311682
-244.958897,69,18.71945
-288.017786,107,19.364257
-194.048923,64,19.742971
-312.598819,114,20.50387
-68.343167,26,20.660676
-78.119014,23,20.797063
-484.920225,145,21.668539
-3120.335621,1000,27.832945
-204.970875,66,28.221348
-147.832694,45,28.502386
-83.339425,29,28.66962
-68.386644,31,28.852093
-123.620513,49,29.143658
-174.607014,63,29.514668
-2975.031059,1000,35.651291
-129.183908,40,35.884237
-57.867051,19,36.067111
-2932.59428,1000,42.174835
-177.425067,64,42.635579
-119.050621,24,42.778646
-362.069064,118,43.492671
-84.337335,38,43.714354
-52.490772,23,43.84619
-61.59365,20,43.966745
-65.56642,17,44.065597
-239.803297,56,44.431234
-83.254893,23,44.569893
-151.193123,49,44.853992
-57.219498,26,45.008179
-171.951183,52,45.326534
-124.417352,56,45.7464
-97.050013,33,45.944276
-107.911386,27,46.105195
-329.683264,102,46.718701
-261.690671,96,47.30361
-93.987957,28,47.492879
-53.767968,15,47.584335
-3031.365901,1000,53.699516
-124.149117,34,53.897774
-45.846145,13,53.974791
-146.863702,41,54.214812
-109.266105,39,54.458837
-86.626102,39,54.701616
-139.31212,55,55.112259
-40.367441,14,55.197366
-71.437014,18,55.313867
-166.374698,37,55.54303
-112.87115,35,55.747061
-115.218474,65,56.124537
-128.218795,44,56.395156
-57.045327,16,56.494714
-87.198835,21,56.616852
-130.068729,43,56.870658
-503.4602,169,57.891
-129.730204,35,58.170043
-71.711467,22,58.308735
-77.021714,21,58.445705
-37.472656,19,58.559469
-81.664265,25,58.712117
-41.787733,13,58.789526
-223.559485,82,59.284469
-59.811362,16,59.395883
-56.927554,24,59.543998
-248.789306,69,59.95577
-58.990491,24,60.096855
-53.502282,20,60.214825
