#{"t_start": 1519722024.522291, "env_id": "Ant-v2", "gym_version": "0.10.2"}
r,l,t
-47.333495,16,0.99098
-320.931153,87,1.525154
-178.399148,64,1.897236
-59.562193,15,1.984542
-107.345957,39,2.226704
-421.414138,125,2.964671
-127.946387,27,3.140148
-138.045593,42,3.404296
-137.733634,53,3.715079
-101.246078,24,3.852363
-137.975193,77,4.604095
-15.719224,12,4.675638
-466.002157,141,5.519404
-3310.127803,1000,11.682332
-83.378652,23,11.818188
-176.295236,59,12.183327
-125.211673,44,12.452184
-40.589598,18,12.559585
-170.389392,51,12.858271
-205.957401,51,13.161838
-140.447603,54,13.490454
-119.714345,39,13.792348
-178.436361,53,14.117675
-311.663125,101,14.723767
-517.395608,146,15.597473
-114.839867,37,15.82158
-164.123549,53,16.144394
-146.391423,54,16.461472
-90.503036,31,16.650158
-267.490498,76,17.194539
-65.54538,37,17.427894
-51.306971,17,17.528181
-147.424535,49,17.820386
-70.875229,23,17.955719
-107.380887,40,18.205612
-121.664312,36,18.420034
-180.905737,71,18.835185
-77.051826,21,18.954312
-84.567626,25,19.116477
-288.273917,93,19.675236
-39.376185,12,19.748588
-97.077764,27,19.901196
-121.522685,40,20.223132
-3074.773945,1000,26.396034
-215.254643,54,26.71444
-49.0729,14,26.796415
-56.303524,12,26.869109
-105.130374,35,27.082394
-50.312914,14,27.168547
-103.004302,41,27.410201
-70.485042,31,27.595061
-98.318455,30,27.774261
-324.443743,99,28.36841
-165.877378,65,28.755022
-82.485525,25,28.902339
-26.672742,16,28.9938
-430.533111,154,29.973173
-72.03875,25,30.126765
-17.883094,10,30.195221
-95.571358,42,30.444183
-90.532215,36,30.650875
-155.747633,63,31.027297
-83.099685,27,31.20654
-86.684799,25,31.365101
-274.271749,89,31.884414
-88.450332,30,32.065357
-475.335685,150,33.025245
-414.033594,160,33.992074
-56.262372,31,34.195393
-94.057703,38,34.416092
-2986.093359,1000,40.587333
-108.426175,30,40.764424
-51.15582,16,40.858971
-136.692498,45,41.138811
-3035.568365,1000,47.328968
-86.685395,23,47.462561
-61.929851,17,47.559964
-141.913146,40,47.789839
-95.344966,37,48.008375
-399.529206,147,48.959438
-131.529087,56,49.297678
-296.272885,87,49.800132
-102.834476,48,50.092334
-200.965088,58,50.436129
-91.594459,37,50.652388
-171.902512,57,50.987975
-39.110125,14,51.07539
-84.222483,39,51.339537
-36.787145,16,51.433975
-59.198482,29,51.679155
-48.402972,12,51.748449
-90.609018,32,51.941501
-2964.086087,1000,58.103487
-3173.233809,1000,64.285205
-72.028317,27,64.468549
-37.825592,12,64.540594
-102.28658,33,64.736738
-155.278002,66,65.136626
-73.779135,22,65.266309
-45.878535,16,65.362033
-61.979722,23,65.491723
-51.766215,16,65.584966
-35.604838,13,65.664248
-177.380276,42,65.909337
-113.170876,42,66.183306
-229.054612,57,66.51385
-83.874156,29,66.679886
-49.782413,13,66.757497
-162.673538,46,67.029805
-198.573123,59,67.487268
-94.078516,31,67.665719
-75.663829,20,67.779945
