#{"t_start": 1519722024.9387746, "env_id": "Ant-v2", "gym_version": "0.10.2"}
r,l,t
-139.160769,43,0.754049
-100.918218,27,0.912669
-191.774088,71,1.329761
-219.991101,49,1.613713
-14.781282,8,1.6707
-79.740049,29,1.845936
-345.236444,120,2.554748
-77.968133,32,2.761317
-180.147018,70,3.191841
-53.65843,19,3.299388
-582.852501,158,4.520584
-271.92017,109,5.179846
-247.537588,68,5.578548
-3148.946647,1000,11.759438
-91.676717,22,11.900757
-138.342472,42,12.14749
-316.520644,100,12.737854
-407.501758,146,13.694938
-288.40981,115,14.384149
-151.489753,41,14.62372
-446.260293,141,15.472053
-505.879163,174,16.587684
-56.439306,16,16.69427
-144.921783,53,17.034212
-2967.385939,1000,23.190107
-69.463966,33,23.387353
-32.236456,13,23.462481
-67.499994,29,23.644901
-184.436476,61,24.015441
-181.534183,49,24.309875
-77.682853,27,24.46345
-72.826799,29,24.62772
-231.095283,90,25.182884
-88.448334,34,25.386089
-431.885099,150,26.362917
-307.290175,95,26.935433
-44.541043,14,27.018027
-290.906222,131,27.8067
-122.549369,55,28.126958
-28.496398,19,28.239388
-218.122935,66,28.632427
-104.623789,30,28.813586
-60.545898,31,29.057382
-61.178561,19,29.171672
-79.087179,29,29.345944
-52.540101,18,29.450559
-55.290778,30,29.624111
-46.45677,18,29.74207
-59.598078,21,29.874697
-337.936373,116,30.556276
-68.194172,22,30.696042
-147.288851,50,31.008866
-52.848997,13,31.084084
-304.641048,84,31.580198
-201.212039,74,32.034656
-65.184319,19,32.215479
-87.60261,28,32.383922
-416.121613,157,33.322262
-2916.952102,1000,39.49378
-24.710643,11,39.558106
-86.230464,25,39.719455
-3185.751605,1000,45.887705
-154.21853,57,46.222448
-46.53425,11,46.286143
-172.709365,51,46.592458
-98.110074,30,46.798776
-64.266138,16,46.897966
-419.107022,128,47.650357
-124.069607,39,47.88731
-437.700245,157,48.892943
-61.814476,24,49.03068
-204.38972,61,49.384615
-44.332486,18,49.49159
-54.399657,24,49.634682
-225.420546,80,50.1161
-41.366678,15,50.203588
-47.625655,16,50.293624
-180.206267,78,50.781522
-32.029334,16,50.887377
-101.992734,33,51.155589
-221.178761,53,51.471431
-148.046682,50,51.779488
