#{"t_start": 1519722025.0863147, "env_id": "Ant-v2", "gym_version": "0.10.2"}
r,l,t
-69.644375,20,0.452594
-77.018963,23,0.608697
-330.688354,98,1.180936
-74.067378,24,1.319307
-74.380497,36,1.541098
-336.360837,142,2.382618
-95.736221,24,2.5298
-84.674045,33,2.751832
-45.651893,13,2.827817
-73.743558,19,2.939602
-64.255225,21,3.067568
-93.573275,27,3.217597
-44.530046,17,3.318394
-226.862984,70,4.026689
-68.598542,20,4.14699
-108.815466,36,4.355065
-525.810572,193,5.516123
-112.75324,46,5.790819
-93.64166,41,6.037368
-211.26461,60,6.391485
-270.462968,88,7.00128
-74.977362,28,7.166627
-144.889054,44,7.423089
-44.746652,13,7.502396
-165.218562,43,7.777815
-48.165567,15,7.864184
-68.472749,19,7.973388
-78.292153,22,8.104743
-83.956678,31,8.288381
-3129.912275,1000,14.457669
-124.860632,27,14.638057
-111.952622,40,14.868337
-45.386064,16,14.963764
-64.143729,24,15.10924
-318.547027,104,15.733855
-106.538073,48,16.018649
-79.804475,22,16.150789
-81.521897,24,16.364422
-106.265195,33,16.571198
-88.572502,23,16.731344
-113.385444,51,17.035888
-68.501542,21,17.162209
-104.555244,35,17.369384
-79.446165,19,17.485978
-2962.908143,1000,23.659247
-448.334498,143,24.493573
-3157.358637,1000,30.640594
-206.919581,69,31.055826
-183.197268,68,31.455182
-124.293956,38,31.69758
-2946.79139,1000,37.855881
-67.974022,24,37.996853
-37.752746,15,38.08228
-84.665297,27,38.245829
-42.526697,13,38.395391
-118.901532,35,38.624206
-218.995336,79,39.095314
-69.436465,25,39.240626
-536.505783,207,40.478645
-226.963887,90,41.020159
-55.60524,18,41.126199
-100.656432,27,41.287465
-41.419828,14,41.368341
-134.843568,44,41.710725
-65.794173,21,41.833107
-32.565918,13,41.909103
-51.910409,12,41.981476
-262.834428,76,42.43164
-161.82996,53,42.760942
-114.985855,43,43.010245
-166.151475,52,43.317117
-335.299677,113,44.01699
-56.193122,20,44.136481
-187.111818,69,44.553649
-37.186616,12,44.707007
-159.438038,50,45.013244
-82.219028,30,45.188108
-3200.646651,1000,51.342105
-40.689158,15,51.42941
-73.240899,29,51.613678
-57.722637,13,51.691016
-122.917428,35,51.892524
-305.026274,91,52.430161
-83.131979,31,52.633425
-124.693906,39,52.857639
-21.090561,10,52.916503
-85.826885,33,53.108218
-90.333323,24,53.248114
-134.651203,39,53.476445
-289.861126,93,54.13168
-187.744602,59,54.497086
-98.477123,30,54.688141
-273.649191,97,55.256083
-189.926698,74,55.704929
-28.151625,13,55.779056
-59.931652,16,55.875617
-85.187983,34,56.073136
-84.968029,24,56.2113
-235.030004,92,56.772593
-48.485992,15,56.863491
-307.894104,81,57.422127
-184.802902,74,57.88581
-148.662076,52,58.194625
-86.573202,34,58.399022
-352.711838,116,59.113608
-170.599889,45,59.385867
-112.084332,46,59.667581
-3064.231328,1000,65.825304
-130.180538,41,66.064651
-37.450832,19,66.175
-162.558151,45,66.44273
-126.073811,32,66.66009
-92.85242,39,66.968799
-40.735814,11,67.030674
-157.364867,50,67.321938
-51.473297,21,67.450475
-55.916711,17,67.56057
-2021.555281,588,71.188682
-42.277284,29,71.358883
-26.956871,7,71.397974
-54.224767,15,71.495943
-359.56574,102,72.114329
-87.262496,18,72.221074
-215.219849,57,72.572762
-99.899759,20,72.694399
-170.891671,63,73.134532
-120.916986,36,73.349472
-140.572645,31,73.543043
-46.301753,15,73.630455
-70.608855,26,73.779877
-45.602501,22,73.910552
-61.720695,20,74.026703
-49.822928,12,74.097446
-24.512924,11,74.162162
-2775.347979,818,79.236878
-45.646724,14,79.315401
-1768.791713,526,82.570455
-64.404836,14,82.739475
-84.298558,34,82.961005
-101.098064,22,83.091638
-116.005394,34,83.295215
-166.420836,42,83.554377
-217.065068,55,83.917786
-98.506064,24,84.060572
-93.593067,29,84.229677
-71.101625,15,84.314525
-50.769753,15,84.402713
-39.602503,14,84.488662
-29.696432,11,84.558575
-85.794218,21,84.690219
-29.495423,11,84.756442
-131.187603,35,84.95945
-48.338337,15,85.044647
-274.355838,64,85.424572
-160.100395,42,85.696026
-263.140117,72,86.191809
-130.443975,30,86.374445
-89.130301,39,86.61817
-90.662211,26,86.775478
-102.939848,30,86.95537
-36.320394,8,87.001514
-71.556702,29,87.176654
-135.853077,28,87.339153
-100.651235,25,87.48443
-54.948284,23,87.635683
-121.220736,29,87.81144
-59.614357,14,87.892793
-42.607879,10,87.950191
-35.081196,11,88.015546
-46.794591,11,88.079144
-55.595946,13,88.152608
-116.857446,24,88.293909
-42.240597,12,88.364676
-98.202743,28,88.539538
-67.483565,17,88.660878
-94.667851,27,88.820581
-124.464692,27,89.049719
-201.669841,54,89.36992
-42.879225,12,89.437811
-84.04909,22,89.588835
-912.129728,255,91.130225
-106.632116,27,91.291361
-91.669216,27,91.45298
-117.327871,33,91.669071
-87.564876,32,91.851532
-181.296008,44,92.11467
-3541.813061,1000,98.326521
-99.491718,23,98.46263
-175.707566,52,98.851388
-151.054719,34,99.048973
-187.123567,61,99.404226
-44.31496,13,99.481684
-43.271815,16,99.591707
-86.796407,17,99.707939
-69.110611,14,99.787764
-40.641714,10,99.847851
-52.371382,11,99.913221
-50.452268,13,99.988826
-50.55037,10,100.046925
-131.214806,35,100.253401
-137.218051,40,100.498667
-69.970198,15,100.601584
-61.826541,12,100.679065
-152.510391,32,100.86951
-71.570127,15,100.962479
-56.161674,17,101.059184
-47.967781,24,101.208133
-78.977958,17,101.308181
-85.107523,19,101.421306
-97.126961,20,101.552836
-86.772865,17,101.737534
-42.173171,11,101.80235
-115.419999,37,102.01985
-43.882003,11,102.084685
-40.845523,13,102.164294
-54.801756,26,102.320123
-111.037452,33,102.525522
-46.849428,10,102.59632
-42.770861,12,102.68157
-50.928525,12,102.753008
-35.518549,7,102.795324
-54.995757,13,102.866714
-38.800536,10,102.925555
-167.814628,49,103.212799
-28.571011,10,103.271348
-205.783147,58,103.637131
-76.735268,20,103.754348
-97.733085,33,103.95068
-42.072754,12,104.022748
-50.299429,12,104.094226
-21.645728,15,104.183993
-105.301748,29,104.357113
-35.08183,11,104.421063
-147.116611,40,104.687548
-40.361135,11,104.755572
-53.449715,14,104.83654
-39.607979,7,104.94944
-34.954691,10,105.011914
-52.877472,10,105.071215
-42.82066,13,105.149635
-49.797401,12,105.221926
-30.093468,11,105.28701
-96.366732,23,105.422706
-67.252359,25,105.586354
-104.518955,35,105.819185
-39.118291,16,105.914629
-46.988264,12,105.98342
-90.369693,20,106.102912
-61.724124,23,106.240211
-68.322464,14,106.324394
-26.228917,12,106.397678
-33.460251,11,106.461341
-30.505614,11,106.532173
-57.002621,12,106.603665
-41.469429,14,106.687519
-58.110219,16,106.783957
-159.204029,41,107.025911
-219.467227,54,107.344605
-45.520384,11,107.410269
-28.739487,13,107.485239
-41.057735,10,107.552846
-71.22825,13,107.633054
-37.075632,11,107.699241
-32.790382,10,107.7579
-22.040771,11,107.827285
-97.00564,19,107.939014
-36.883218,11,108.008446
-76.219239,25,108.227452
-19.482428,10,108.289997
-56.217882,17,108.396626
-184.472446,61,108.773597
-75.86438,16,108.866465
-46.079486,12,108.936572
-31.795484,12,109.0106
-49.656439,24,109.154518
-44.623645,10,109.220315
-72.391037,18,109.325461
-95.703534,20,109.444229
-66.35422,13,109.527567
-44.319945,11,109.607347
-24.247725,13,109.683002
-66.972571,30,109.866235
-31.547267,10,109.930229
-213.254645,66,110.330464
-47.611862,10,110.393595
-99.01655,39,110.652591
-43.697407,18,110.769858
-49.506406,11,110.833651
-44.097805,11,110.900374
-91.41835,21,111.024479
-57.65864,14,111.111812
-48.013444,11,111.176451
-36.763906,12,111.252931
-27.137085,9,111.382822
-44.120302,16,111.4817
-47.962336,10,111.549335
-55.226426,21,111.682038
-52.338043,15,111.778026
-32.94057,9,111.832239
-37.908504,10,111.893853
-64.297514,20,112.016042
-47.31356,13,112.097793
-52.649756,12,112.174945
-27.54044,10,112.23595
-52.80956,14,112.320935
-21.849817,15,112.411917
-30.4517,11,112.481024
-111.924384,33,112.703004
-82.82288,14,112.7893
-73.876419,20,112.913006
-42.50727,10,112.975676
-34.254341,11,113.045189
-33.111374,10,113.110661
-225.718119,68,113.5347
-27.569338,10,113.603588
-65.475856,14,113.702469
-30.185207,16,113.810529
-40.192486,11,113.884582
-58.713825,12,113.959834
-45.599244,14,114.056765
-42.374897,11,114.127071
-99.788545,21,114.266594
-71.695475,12,114.346579
-69.230896,14,114.440919
-72.014666,28,114.707005
-29.981003,9,114.76803
-42.85573,11,114.839348
-35.333208,13,114.920752
-32.990352,11,114.992789
-41.749705,12,115.067205
-35.820213,13,115.15229
-56.282086,17,115.263768
-63.299344,24,115.420709
-45.185551,12,115.504285
-34.930934,10,115.574384
-85.573309,20,115.709345
-94.434102,23,115.863211
-41.915516,9,115.924193
-45.805171,11,115.993751
-71.18172,22,116.139041
-35.489646,10,116.207666
-41.526516,11,116.279488
-25.976352,11,116.350649
-45.408789,20,116.487783
-50.627844,14,116.584237
-53.848422,13,116.676433
-41.194816,13,116.765727
-51.454663,14,116.856499
-46.692391,12,116.930706
-59.459538,11,117.00239
-54.476698,12,117.0811
-42.857902,11,117.154312
-30.764205,11,117.221757
-159.854311,41,117.491133
-48.406851,11,117.57375
-76.694366,16,117.686939
-27.709547,10,117.748684
-48.44025,12,117.82606
-70.779789,12,117.902125
-53.267462,11,117.970333
-29.779235,10,118.032265
-52.686646,11,118.174465
-225.059709,56,118.53142
-34.30553,10,118.599238
-40.108376,11,118.679308
-63.160609,17,118.787776
-48.272496,14,118.877264
-68.195902,22,119.012112
-77.302031,32,119.213627
-59.353573,10,119.275043
-42.118691,9,119.332847
-46.735549,12,119.404004
-39.481595,11,119.469904
-60.898852,19,119.60436
-32.140605,11,119.67145
-27.700227,12,119.746038
-37.464084,7,119.79197
-39.324229,10,119.855119
-34.596197,11,119.923658
-47.151139,12,119.999545
-30.452259,8,120.047886
-24.912166,11,120.116735
-114.171947,28,120.290665
-88.387279,29,120.474141
-38.838324,13,120.560717
-44.130157,11,120.63763
-54.53354,13,120.736385
-34.859283,10,120.812013
-66.538001,20,120.93792
-67.380856,15,121.034676
-99.067907,30,121.222279
-38.438573,11,121.289834
-87.82764,22,121.426092
-35.5809,10,121.574377
-62.832194,15,121.674983
-43.214285,10,121.736883
-52.287077,10,121.803716
-37.312138,12,121.87466
-31.201334,12,121.951031
-148.280985,31,122.146868
-56.257896,16,122.246619
-79.278887,32,122.44961
-178.082366,45,122.738612
-69.66775,20,122.865413
-64.40272,32,123.061073
-29.932429,11,123.126699
-39.198336,11,123.19524
-34.05376,12,123.268329
-70.707397,19,123.38666
-113.941784,32,123.596286
-85.748021,36,123.833905
-138.594577,28,124.007208
-160.909976,38,124.243038
-60.32612,18,124.349097
-45.898236,15,124.444048
-34.109532,11,124.515425
-108.044688,24,124.667447
-37.325271,13,124.746299
-41.10931,13,124.902511
-47.344323,11,124.974903
-55.733851,13,125.058306
-112.055265,43,125.323483
-35.577961,10,125.386641
-56.16179,10,125.447837
-83.784511,23,125.598544
-184.898695,37,125.826186
-42.263149,13,125.904956
-49.521401,10,125.962666
-100.791265,17,126.061472
-33.38289,14,126.147982
-44.284551,14,126.229108
-31.307336,9,126.283924
-50.2638,12,126.356629
-33.688958,11,126.423371
-59.518313,23,126.573468
-42.66213,10,126.643045
-57.315178,10,126.707916
-69.958625,13,126.788558
-43.382425,11,126.857535
-41.696309,11,126.921211
-41.91349,11,126.986396
-249.504878,58,127.333508
-91.030188,24,127.479102
-18.706271,11,127.558451
-38.022456,24,127.722967
-51.671109,14,127.811551
-48.453888,14,127.901282
-42.047414,11,127.972164
-25.1465,19,128.156049
-35.436511,11,128.224025
-62.882106,13,128.303782
-40.831646,13,128.380845
-38.313282,25,128.538565
-49.496893,27,128.717572
-31.346425,10,128.776941
-99.970175,32,128.968205
-33.278308,10,129.029484
-62.832987,24,129.169607
-22.82053,10,129.23179
-57.051042,11,129.29987
-25.194153,10,129.357708
-27.970009,13,129.435723
-3418.550593,1000,135.669342
-61.920216,22,135.801503
-39.540171,17,135.907679
-52.127676,12,135.9756
-111.394886,21,136.0962
-111.993081,32,136.282048
-45.906043,12,136.352452
-29.503888,10,136.411889
-144.554101,28,136.591193
-64.75374,15,136.679799
-32.467057,15,136.76991
-59.662859,19,136.878923
-112.547714,31,137.06045
-38.037646,7,137.103833
-53.283708,12,137.1734
-2572.830568,756,141.894533
-30.228697,9,141.952906
-97.548544,28,142.120576
-30.785224,10,142.181806
-26.663116,11,142.246423
-32.30826,11,142.31137
-46.815923,14,142.392908
-166.61342,67,142.82261
-44.426707,11,142.887358
-123.256156,42,143.136729
-67.649122,15,143.225387
-42.637795,12,143.297568
-35.626585,9,143.348724
-21.553204,7,143.389578
-28.445512,10,143.447384
-46.422094,19,143.571718
-37.6618,11,143.643839
-28.558717,13,143.721544
-52.343363,13,143.797881
-37.277876,14,143.881311
-97.042398,32,144.144648
-60.467221,15,144.232811
-46.24417,10,144.29392
-46.171917,12,144.366984
-36.046927,12,144.43653
-91.019393,27,144.616552
-246.191186,62,144.985112
-33.54273,14,145.068399
-58.746153,15,145.158245
-35.924278,14,145.241848
-63.761617,19,145.354208
-33.202811,12,145.426433
-26.680986,10,145.491499
-27.733758,9,145.552232
-73.775599,22,145.687081
-70.062593,25,145.831486
-23.84119,9,145.886827
-61.323472,18,145.997127
-50.635357,16,146.094032
-45.35561,10,146.149436
-58.381801,14,146.230375
-101.204513,44,146.499876
-48.815297,16,146.605865
-34.44792,10,146.677238
-20.497535,10,146.736147
-42.350457,10,146.796155
-43.627969,12,146.86589
-36.018894,9,146.919122
-92.185261,31,147.17027
-97.108087,25,147.319573
-22.858118,10,147.379885
-24.957089,9,147.436099
-33.907562,12,147.513321
-10.727373,8,147.568758
-27.113706,11,147.63812
-40.046178,11,147.703999
-41.555213,11,147.768713
-46.761627,10,147.830502
-26.20782,10,147.888957
-32.661897,12,147.964498
-42.314687,14,148.046583
-46.219718,11,148.113828
-44.261671,15,148.19976
-33.418882,10,148.258003
-33.26337,10,148.315761
-31.96009,10,148.374886
-20.24138,9,148.428423
-43.808854,9,148.482278
-29.659745,12,148.563594
-52.216095,20,148.679563
-43.80769,10,148.736884
-45.284062,10,148.798315
-48.491496,12,148.871402
-104.682363,31,149.062837
-29.652578,26,149.221189
-31.245512,10,149.282527
-59.487956,12,149.354626
-29.160205,9,149.406181
-40.143735,14,149.491897
-38.903583,10,149.556885
-36.295934,10,149.626551
-736.761888,225,151.078035
-3266.056256,1000,157.273988
-22.620749,10,157.333824
-150.251145,50,157.633516
-47.650245,12,157.704754
-112.228907,24,157.843628
-47.314475,12,157.914654
-57.946627,42,158.162473
-24.58049,11,158.226294
-28.375085,11,158.29278
-24.084898,12,158.365557
-62.618739,24,158.507859
-26.566218,9,158.566514
-42.288503,12,158.643564
-38.298642,10,158.704405
-29.616172,12,158.770577
-61.109295,23,158.908432
-25.856452,10,158.968369
-31.510104,10,159.034716
-31.852198,10,159.095565
-21.922474,12,159.163883
-41.183063,12,159.237327
-39.001825,16,159.333777
-38.90413,10,159.396581
-49.26914,13,159.471666
-64.463491,18,159.591962
-67.809255,19,159.706744
-30.707211,10,159.767108
-23.994857,9,159.891234
-67.299577,18,159.99854
-43.703332,13,160.079621
-48.349733,26,160.228886
-29.364686,10,160.29105
-27.818854,10,160.350799
-31.092517,10,160.412322
-41.674252,11,160.476624
-28.664598,19,160.604132
-43.28662,11,160.67547
-32.068068,14,160.757995
-34.821091,10,160.814677
-63.655695,18,160.923647
-40.495594,10,160.982317
-42.011957,24,161.128525
-44.94432,15,161.222418
-21.354924,10,161.278806
-36.768245,11,161.342501
-36.011958,10,161.40475
-99.734709,39,161.651202
-28.383545,10,161.708706
-31.551291,10,161.769125
-34.510213,11,161.83422
-47.661514,21,161.953658
-87.605541,21,162.081564
