#{"t_start": 1519722024.877567, "env_id": "Ant-v2", "gym_version": "0.10.2"}
r,l,t
-90.072679,22,0.673521
-41.931805,11,0.748503
-156.12526,44,1.015848
-84.91943,23,1.149542
-163.776863,56,1.479984
-174.533613,74,1.924215
-292.357363,90,2.458373
-3042.82229,1000,8.825922
-88.189731,28,8.995223
-129.575491,32,9.178381
-62.880385,21,9.303985
-216.174285,67,9.709521
-101.753385,36,9.943349
-169.113508,64,10.392933
-69.540308,20,10.513295
-156.683641,42,10.772847
-302.086225,98,11.361149
-97.841832,22,11.491729
-135.554388,56,11.843451
-90.770862,27,12.009518
-3075.734536,1000,18.172695
-2988.945786,1000,24.338787
-175.087273,60,24.682831
-2914.246853,1000,30.829024
-148.276566,47,31.11761
-42.236726,11,31.182788
-230.060116,75,31.625087
-2993.173619,1000,37.769522
-2914.884402,1000,43.959167
-3092.210481,1000,50.100507
-184.398219,52,50.402021
-154.803623,50,50.69942
-151.648589,46,51.006772
-3048.439776,1000,57.165239
-498.707612,154,58.180222
-34.146575,15,58.267796
-77.212999,35,58.475051
-317.848911,125,59.249241
-58.702205,26,59.404905
-130.948169,32,59.595528
-214.929919,78,60.064522
-76.488696,24,60.204392
-99.736947,44,60.461953
-219.365721,60,60.908973
-180.813418,55,61.236742
-141.1601,39,61.463848
-192.712533,51,61.775104
-80.152289,22,61.903173
-213.012957,60,62.255388
-330.424637,84,62.753176
-124.386151,41,63.007031
-85.365797,24,63.150008
-208.846637,62,63.511573
-40.717751,15,63.601488
-31.894889,11,63.669553
-165.487384,43,64.030995
-178.654243,29,64.212709
-62.372967,18,64.318915
-237.900882,58,64.663975
-30.789228,12,64.741058
-67.609349,21,64.868004
-95.817489,23,65.005912
-44.870497,12,65.074095
-93.192303,25,65.219651
-43.802169,12,65.291363
-93.515999,36,65.500855
-76.652997,27,65.654706
-140.980417,42,65.933429
-686.226786,199,67.204006
-95.48188,32,67.389305
-192.529127,44,67.651209
-219.196306,72,68.088631
-174.825971,35,68.294288
-49.828055,15,68.382989
-50.270864,11,68.449533
-67.711283,24,68.595026
-57.390453,15,68.683751
-102.779442,28,68.87222
-62.296754,17,68.976166
-88.838527,28,69.143004
-43.725966,11,69.207656
-33.917446,9,69.259332
-132.037437,42,69.498968
-29.96625,14,69.579888
-153.365213,39,69.836146
-145.710519,37,70.072721
-202.848868,47,70.420012
-42.580819,13,70.492453
-179.917784,44,70.764599
-48.206876,21,70.901075
-34.028304,11,70.964366
-75.540091,18,71.072604
-126.127294,29,71.24499
-82.562298,19,71.354997
-253.020168,65,71.753105
-3361.32849,1000,77.982374
-55.880969,13,78.062488
-196.078533,41,78.303179
-59.8182,13,78.378691
-113.964329,35,78.585288
-52.279455,9,78.640497
-120.484334,30,78.823339
-100.209199,30,79.017931
-279.260296,83,79.503921
