#{"t_start": 1519722025.0203185, "env_id": "Ant-v2", "gym_version": "0.10.2"}
r,l,t
-3154.424672,1000,6.689478
-267.145891,101,7.364145
-340.793389,125,8.117396
-77.486096,37,8.33696
-533.959079,133,9.132716
-594.875907,184,10.322016
-34.297402,18,10.432259
-3064.211581,1000,16.596151
-54.217946,19,16.72822
-121.866976,38,16.967117
-132.973682,48,17.252315
-3026.531235,1000,23.407656
-170.969898,65,23.811951
-501.862608,166,24.807922
-151.14012,65,25.18909
-185.898796,54,25.511965
-233.823635,81,26.07852
-331.715448,92,26.633472
-3003.124854,1000,32.769537
-600.673685,210,34.01726
-136.145594,44,34.272331
-135.616851,44,34.530586
-298.226551,84,35.03948
-81.806779,29,35.278636
-87.912077,32,35.464664
-129.812015,44,35.739557
-374.318897,118,36.441272
-165.753978,48,36.74906
-85.125821,35,36.953203
-310.497267,101,37.556048
-47.149005,16,37.666348
-91.472613,26,37.836522
-68.157917,20,37.957707
-97.472441,57,38.292499
-3020.48136,1000,44.451308
-67.045526,18,44.560665
-85.276691,37,44.881391
-57.817183,22,45.004889
-95.322666,25,45.154987
-315.497818,82,45.658297
-223.854851,90,46.187018
-115.196673,36,46.406349
-119.431568,28,46.577308
-86.160594,36,46.816155
-316.907222,104,47.420329
-73.326025,21,47.54718
-44.838888,22,47.6889
-151.313912,60,48.115471
-76.901516,43,48.3644
-148.368404,69,48.782065
-83.806622,21,48.901702
-3012.242005,1000,55.070716
-134.592125,37,55.286519
-324.019137,108,55.935729
-79.053064,19,56.044744
-3001.429825,1000,62.220475
-247.891847,70,62.639311
-35.12016,13,62.723592
-159.119972,55,63.047448
-35.835606,16,63.140498
-2930.923199,913,68.822599
-47.744417,14,68.906027
-179.093558,41,69.145138
-114.647783,34,69.337308
-74.579899,19,69.450316
-66.186499,20,69.575293
-79.561671,24,69.744416
-79.258054,16,69.846546
-33.868115,13,69.923946
-250.604116,78,70.448256
-34.990019,13,70.529659
-34.325712,9,70.58969
-47.630712,12,70.669236
-60.339214,27,70.831653
-87.519194,28,70.998188
-132.251128,33,71.19631
-78.158368,32,71.384371
-45.267446,13,71.458559
-45.791757,12,71.53458
-674.509084,219,72.862111
-3261.133139,1000,79.091114
-50.339011,13,79.16731
-39.761899,12,79.2405
-74.096968,28,79.40051
-83.204455,17,79.573629
-47.292946,16,79.680792
-30.7725,11,79.745884
-37.89469,11,79.809549
-88.372008,26,79.961795
-44.720636,12,80.031746
-43.656926,16,80.130074
-67.423958,17,80.230412
-50.87832,14,80.313472
-38.399567,12,80.38438
-57.905353,20,80.500211
-88.903578,18,80.627183
-3263.494178,999,86.852968
-98.953392,16,86.948192
-135.208534,61,87.310941
-33.969119,8,87.360038
-44.479792,14,87.44114
-86.533893,25,87.592396
-52.753109,14,87.684305
-35.764012,13,87.762527
-127.333332,35,87.970073
-166.60494,55,88.288315
-88.167303,18,88.395465
-64.210265,19,88.508378
-81.405936,19,88.637397
-115.812295,32,88.840213
-58.650334,15,88.9284
-36.850758,10,88.98558
-204.973489,40,89.289108
-45.720619,13,89.367548
-70.650396,17,89.471455
-43.918908,11,89.534619
-66.281572,19,89.665996
-38.02512,11,89.73231
-257.88129,75,90.178487
-100.038957,24,90.319753
-109.691008,36,90.537225
-40.114683,14,90.627888
-52.827484,17,90.744554
-186.895772,65,91.129295
-63.651866,15,91.222238
-76.967963,20,91.339154
-327.363049,70,91.775652
-144.701576,41,92.014409
-138.800697,29,92.255228
-60.655626,18,92.3629
-65.370768,13,92.441154
-150.088343,48,92.749757
-38.248841,11,92.812439
-52.880337,14,92.897147
-61.935367,14,92.977739
-144.498325,33,93.165531
-36.100084,12,93.233464
-61.807454,12,93.308809
-26.692413,11,93.372011
-36.710283,13,93.448753
-48.338717,11,93.516829
-29.155779,11,93.585355
-32.402813,11,93.663223
-106.387419,23,93.804844
-289.339292,75,94.240854
-94.18914,28,94.406175
-53.420025,14,94.488501
-36.669999,10,94.551256
-80.190284,28,94.741313
-32.528606,13,94.817741
-46.590181,15,94.906038
-32.441204,11,94.969159
-39.191232,10,95.029409
-97.995896,25,95.182227
-56.631512,12,95.252884
-60.993672,20,95.444059
-61.749809,15,95.535142
-63.424681,13,95.622053
-125.037103,54,95.951511
-99.138528,31,96.131096
-32.073696,11,96.197305
-82.689301,18,96.309842
-43.956218,12,96.38052
-37.929947,10,96.441412
-36.025335,11,96.507154
-50.091997,11,96.57585
-44.827177,15,96.678795
-100.383272,22,96.813403
-98.189743,23,96.949228
-193.170409,44,97.209266
-77.977368,22,97.345516
-42.379037,11,97.410377
-57.909081,12,97.483407
-48.842603,13,97.566142
-41.040325,10,97.635159
-79.362434,26,97.802881
-87.244167,25,97.953239
-144.759106,33,98.142079
-77.640001,23,98.281753
-29.980552,11,98.348327
