#{"t_start": 1519722024.9607778, "env_id": "Ant-v2", "gym_version": "0.10.2"}
r,l,t
-361.117886,104,1.091532
-46.796579,16,1.186399
-58.359553,21,1.306588
-284.318454,94,1.867869
-88.167861,24,2.008055
-44.801648,14,2.091456
-388.345535,100,2.699846
-148.166259,69,3.127717
-88.95609,25,3.270801
-67.855318,24,3.409395
-305.84349,91,4.240766
-137.665794,49,4.52335
-70.107814,25,4.677884
-479.528471,159,5.63573
-461.796091,133,6.431237
-59.55206,22,6.557224
-242.79587,86,7.159106
-3022.733201,1000,13.324809
-101.329384,27,13.484329
-315.110231,80,13.976763
-87.43752,22,14.105817
-159.551479,46,14.378955
-288.206652,91,14.931991
-85.33874,27,15.089106
-122.46404,37,15.312901
-170.262485,53,15.623781
-87.838178,23,15.769822
-203.310453,60,16.124606
-105.063743,31,16.31182
-108.639623,46,16.665122
-234.478919,73,17.123734
-76.138826,36,17.343016
-69.968224,18,17.446954
-112.083008,52,17.766017
-29.344578,11,17.831225
-28.349643,13,17.911743
-47.518639,14,17.991596
-923.492018,306,19.897881
-54.387056,18,20.009402
-124.94262,51,20.312839
-65.496901,19,20.426275
-115.197039,30,20.600896
-93.337693,39,20.849798
-88.753166,26,20.997531
-107.13636,38,21.225566
-68.009975,27,21.389775
-91.189194,35,21.601896
-67.803452,21,21.744409
-154.614338,57,22.080273
-76.314859,26,22.231867
-53.829394,17,22.335367
-33.698735,8,22.382708
-268.831992,97,23.042005
-177.789933,57,23.376332
-27.85833,12,23.447135
-238.665219,80,23.940859
-915.919203,312,25.820158
-251.515842,98,26.472291
-122.887571,46,26.753258
-3044.641758,1000,32.887797
-461.355224,155,33.817294
-76.18376,21,33.936155
-893.416691,289,35.724332
-50.915272,26,35.878921
-74.210929,22,36.013218
-102.697017,34,36.211758
-43.955199,14,36.297399
-38.295954,11,36.363029
-53.618117,17,36.465535
-87.514264,27,36.630566
-236.297877,74,37.083654
-252.611594,78,37.546906
-70.238058,22,37.686383
-349.576683,118,38.410732
-43.921327,15,38.573812
-261.379131,90,39.133605
-45.607247,14,39.215055
-64.926779,21,39.335407
-150.26451,49,39.6287
-49.007182,17,39.748112
-194.360564,70,40.154484
-245.834793,65,40.540643
-41.76923,18,40.652751
-78.648865,24,40.802828
-66.375313,20,40.916143
-22.481205,13,40.991906
-3090.340249,1000,47.177582
-342.996232,112,47.84587
-239.416835,70,48.331763
-184.788374,55,48.66257
-142.448858,37,48.881602
-70.032603,25,49.025862
-62.599361,23,49.15785
-46.31414,12,49.228545
-74.087208,14,49.310708
-106.593427,25,49.458977
-98.455373,24,49.600702
-396.5971,144,50.452256
-184.995576,68,50.89382
-39.60203,16,50.988613
-34.704188,12,51.132588
-3003.138457,1000,57.221466
-3225.185025,1000,63.379537
-58.741177,17,63.481909
-80.148679,35,63.774599
-149.916706,55,64.136032
-54.722217,16,64.229917
-119.348796,38,64.453619
-107.121586,30,64.640685
-97.258778,26,64.79734
-42.872713,13,64.872764
-33.544674,18,64.977814
-95.88585,29,65.147296
-80.401364,29,65.318847
-92.774172,28,65.48195
-3204.373841,1000,71.688035
-120.095485,21,71.811917
-73.249061,18,71.913403
-36.867657,9,71.965984
-65.854991,16,72.059745
-44.298026,14,72.156295
-121.395463,27,72.317654
-194.332418,48,72.601095
-39.415063,17,72.716322
-74.105592,17,72.819156
-79.377134,18,72.921418
-43.311532,16,73.015982
-3317.161972,1000,79.247547
-47.144859,12,79.316998
-63.737352,15,79.403084
-199.142939,49,79.777444
-33.510021,11,79.83882
-160.377524,46,80.110137
-131.189226,40,80.349766
-383.409082,94,80.930282
-144.037619,66,81.325217
-44.598608,14,81.403447
-37.242836,23,81.542329
-87.349687,23,81.688501
-89.162674,28,81.874288
-141.954001,44,82.126142
-53.530087,13,82.204838
